Country,Year,Risk Points for Inflation,Risk Points for GDP per Head,Risk Points for GDP Growth,Risk Points for Budget Balance,Risk Points for Current Account as % of GDP,Aggregate Economic Risk
Albania,1984,NA,2.08,4.17,4.17,6.25,16.67
Albania,1985,NA,2.15,4.31,4.31,6.46,17.23
Albania,1986,NA,2.5,5,5,7.5,20
Albania,1987,NA,2.5,5,5,7.5,20
Albania,1988,NA,2.5,5,5,7.5,20
Albania,1989,NA,2.5,5,5,7.5,20
Albania,1990,NA,2.5,5,5,7.5,20
Albania,1991,NA,1.81,3.61,3.61,5.42,14.45
Albania,1992,NA,0.83,1.67,1.67,2.5,6.67
Albania,1993,NA,1.18,2.36,2.36,3.54,9.44
Albania,1994,NA,1.88,3.75,3.75,5.63,15.01
Albania,1995,NA,2.08,4.17,4.17,6.25,16.67
Albania,1996,7.78,2.74,5.49,5.49,8.23,29.73
Albania,1997,4.29,1.53,3.47,3.72,7.42,20.43
Albania,1998,4.13,0,6.79,2,7.88,20.8
Albania,1999,8.08,0.24,9.96,4.75,8.5,31.53
Albania,2000,9.83,0.5,10,3.5,9,32.83
Albania,2001,9.5,0.5,10,3.04,9.46,32.5
Albania,2002,9,0.5,10,3.75,9,32.25
Albania,2003,8.5,0.88,9.17,3.92,9.42,31.89
Albania,2004,8.88,0.58,9,4.25,9.5,32.21
Albania,2005,9.67,0.83,9.67,5.33,9.5,35
Albania,2006,9.5,1,10,5.5,9.5,35.5
Albania,2007,9.04,1,10,5.08,9.5,34.62
Albania,2008,9,1,10,5.58,9.96,35.54
Albania,2009,9.67,0.75,7.25,5,9.17,31.84
Albania,2010,9.42,0.79,6.88,5,8.42,30.51
Albania,2011,8.67,1,7.5,5,8,30.17
Albania,2012,8.92,1,8.33,5.42,8.83,32.5
Albania,2013,9.25,1,7.13,6.21,8.79,32.38
Algeria,1984,4,3.09,6.18,6.18,9.27,28.72
Algeria,1985,4,3.65,7.29,7.29,10.94,33.17
Algeria,1986,4,3.26,6.53,6.53,9.79,30.11
Algeria,1987,6.29,2.64,5.28,5.28,7.92,27.41
Algeria,1988,6.5,2.81,5.63,5.63,8.44,29.01
Algeria,1989,6.17,2.08,4.17,4.17,6.25,22.84
Algeria,1990,6.42,1.53,3.06,3.06,4.58,18.65
Algeria,1991,5.58,1.91,3.82,3.82,5.73,20.86
Algeria,1992,3.5,2.36,4.72,4.72,7.08,22.38
Algeria,1993,3.75,2.22,4.45,4.45,6.67,21.54
Algeria,1994,4.25,2.08,4.17,4.17,6.25,20.92
Algeria,1995,4,2.26,4.51,4.51,6.77,22.05
Algeria,1996,4.5,2.78,5.63,5.63,8.44,26.98
Algeria,1997,5.92,2.12,6.74,6.9,10.06,31.74
Algeria,1998,8.25,0.63,6.88,8.67,13.17,37.6
Algeria,1999,7.67,0.73,7.46,6,10.04,31.9
Algeria,2000,8.17,1,8.92,3.5,13,34.59
Algeria,2001,8.08,1,8.92,8.5,13.29,39.79
Algeria,2002,8.17,1,8.42,8.5,12.38,38.47
Algeria,2003,8.96,1,9.58,8.88,14.92,43.34
Algeria,2004,9.04,1,9.96,9.25,14.88,44.13
Algeria,2005,8.54,1,10,10,15,44.54
Algeria,2006,9.08,1,10,10,15,45.08
Algeria,2007,8.96,1.46,9.5,10,15,44.92
Algeria,2008,8.5,1.33,8.96,10,15,43.79
Algeria,2009,8.5,1.42,8,7.25,13.67,38.84
Algeria,2010,8.5,1.5,8.79,4.58,11.88,35.25
Algeria,2011,8.5,1.5,9,5.75,13.5,38.25
Algeria,2012,8.29,1.5,8.58,6.5,14.29,39.16
Algeria,2013,8.42,1.5,8.5,7.13,13.67,39.22
Angola,1984,NA,2.5,5,5,7.5,20
Angola,1985,NA,2.26,4.51,4.51,6.77,18.05
Angola,1986,NA,2.33,4.65,4.65,6.98,18.61
Angola,1987,NA,2.33,4.65,4.65,6.98,18.61
Angola,1988,NA,2.92,5.83,5.83,8.75,23.33
Angola,1989,NA,2.92,5.83,5.83,8.75,23.33
Angola,1990,NA,2.92,5.83,5.83,8.75,23.33
Angola,1991,NA,2.71,5.42,5.42,8.13,21.68
Angola,1992,NA,2.05,4.1,4.1,6.15,16.4
Angola,1993,NA,1.39,2.78,2.78,4.17,11.12
Angola,1994,NA,1.01,2.01,2.01,3.02,8.05
Angola,1995,NA,1.49,2.99,2.99,4.48,11.95
Angola,1996,0,1.67,3.33,3.33,5,13.33
Angola,1997,0,1.25,5.33,2.5,6.75,15.83
Angola,1998,0.33,0.04,8.75,0.88,9.38,19.38
Angola,1999,1.58,0.37,7.38,3.5,9,21.83
Angola,2000,1.33,0.5,8.5,4.54,8.83,23.7
Angola,2001,0.88,0,8.75,9.25,8.67,27.55
Angola,2002,0.88,0.13,9.13,9.13,8.75,28.02
Angola,2003,0.5,0.38,10,6.63,10,27.51
Angola,2004,1.88,0.21,10,3.5,10,25.59
Angola,2005,3.25,0.38,10,5.38,11.5,30.51
Angola,2006,6.13,0.5,10,7.75,14.5,38.88
Angola,2007,7.46,1,10,8,14.17,40.63
Angola,2008,6.96,1.33,10,9.17,14.54,42
Angola,2009,6.5,1.42,7.08,9.42,14.08,38.5
Angola,2010,6.5,1.5,7.08,8.83,13.21,37.12
Angola,2011,5.67,1.5,10,9.83,12.5,39.5
Angola,2012,6.58,1.5,10,9.38,14.29,41.75
Angola,2013,7.29,1.5,9.96,9.71,13.71,42.17
Argentina,1984,0,1.39,2.78,2.78,4.17,11.12
Argentina,1985,0,1.53,3.06,3.06,4.58,12.23
Argentina,1986,0,1.39,2.78,2.78,4.17,11.12
Argentina,1987,1.83,1.74,3.54,3.54,5.31,15.96
Argentina,1988,0,1.77,3.54,3.54,5.31,14.16
Argentina,1989,0,1.84,3.68,3.68,5.52,14.72
Argentina,1990,0,1.98,3.96,3.96,5.94,15.84
Argentina,1991,0.33,2.36,4.72,4.72,7.08,19.21
Argentina,1992,2.54,2.85,5.7,5.7,8.54,25.33
Argentina,1993,6.08,2.54,5.07,5.07,7.61,26.37
Argentina,1994,8.04,2.81,5.63,5.63,8.44,30.55
Argentina,1995,8.17,2.5,5,5,7.5,28.17
Argentina,1996,9.54,2.5,5,5,7.5,29.54
Argentina,1997,10,2.9,6.76,5.64,8.71,34.01
Argentina,1998,10,3.5,9.42,7.5,10.29,40.71
Argentina,1999,10,3.08,7.04,7.25,10.33,37.7
Argentina,2000,10,3.5,8,6.67,10.33,38.5
Argentina,2001,10,3.5,5.71,6.38,10.29,35.88
Argentina,2002,5.38,3.13,1,5.5,12,27.01
Argentina,2003,4.63,2.75,6.25,6.38,13.25,33.26
Argentina,2004,7.79,1.79,10,7.5,13.38,40.46
Argentina,2005,7.5,1.96,9.17,8,12.46,39.09
Argentina,2006,7.13,2,9.75,9,12.75,40.63
Argentina,2007,7.29,2,10,8.71,13,41
Argentina,2008,5.79,2,9.67,8.5,12.88,38.84
Argentina,2009,7,2.38,4.25,7.75,11.88,33.26
Argentina,2010,7.25,2.5,7.17,7.46,12.63,37.01
Argentina,2011,7,2.5,10,8.13,12.5,40.13
Argentina,2012,7,2.5,8.75,6.96,11.42,36.63
Argentina,2013,7,2.5,8.17,6.33,11.33,35.33
Armenia,1984,NA,NA,NA,NA,NA,0
Armenia,1985,NA,NA,NA,NA,NA,0
Armenia,1986,NA,NA,NA,NA,NA,0
Armenia,1987,NA,NA,NA,NA,NA,0
Armenia,1988,NA,NA,NA,NA,NA,0
Armenia,1989,NA,NA,NA,NA,NA,0
Armenia,1990,NA,NA,NA,NA,NA,0
Armenia,1991,NA,NA,NA,NA,NA,0
Armenia,1992,NA,NA,NA,NA,NA,0
Armenia,1993,NA,NA,NA,NA,NA,0
Armenia,1994,NA,NA,NA,NA,NA,0
Armenia,1995,NA,NA,NA,NA,NA,0
Armenia,1996,NA,NA,NA,NA,NA,0
Armenia,1997,NA,NA,NA,NA,NA,0
Armenia,1998,4.89,NA,NA,NA,NA,4.89
Armenia,1999,9,0.03,9.04,4.5,6.96,29.53
Armenia,2000,8.75,0,10,4.83,3,26.58
Armenia,2001,8.29,0,10,6.75,5.58,30.62
Armenia,2002,8.5,0,10,6,6,30.5
Armenia,2003,8.67,0,10,6.5,6,31.17
Armenia,2004,8.58,0.46,10,6.67,8.92,34.63
Armenia,2005,8,0.5,10,7,10,35.5
Armenia,2006,8,0.5,10,7,10,35.5
Armenia,2007,8.92,0.5,10,6.54,9.54,35.5
Armenia,2008,8.67,0.5,10,6.5,9.83,35.5
Armenia,2009,9.13,0.5,6.04,6.29,9.17,31.13
Armenia,2010,9,0.5,3.5,5.5,8,26.5
Armenia,2011,8,0.5,7.75,5.25,8,29.5
Armenia,2012,8.33,1,8.67,6.17,8.67,32.84
Armenia,2013,8.42,1,8.96,6.5,8.92,33.8
Australia,1984,8,3.75,7.5,7.5,11.25,38
Australia,1985,7.83,3.68,7.36,7.36,11.04,37.27
Australia,1986,7.5,2.99,5.97,5.97,8.96,31.39
Australia,1987,7.79,2.5,5,5,7.5,27.79
Australia,1988,7.88,2.5,5,5,7.5,27.88
Australia,1989,8.13,2.08,4.17,4.17,6.25,24.8
Australia,1990,8,1.67,3.33,3.33,5,21.33
Australia,1991,8,2.01,4.03,4.03,6.04,24.11
Australia,1992,8.54,2.15,4.31,4.31,6.46,25.77
Australia,1993,9.04,2.08,4.17,4.17,6.25,25.71
Australia,1994,9.42,2.29,4.58,4.58,6.88,27.75
Australia,1995,8.96,2.64,5.28,5.28,7.92,30.08
Australia,1996,8.83,2.5,5,5,7.5,28.83
Australia,1997,9.92,3.58,6.65,5.99,9.06,35.2
Australia,1998,10,4.96,8.29,7.96,10.21,41.42
Australia,1999,9.33,4.23,8.21,7.63,9.79,39.19
Australia,2000,9.38,5,8.54,8.83,10,41.75
Australia,2001,8.92,5,7.54,8,10.21,39.67
Australia,2002,8.88,5,8.5,8,10.5,40.88
Australia,2003,9.5,5,8.5,8,10,41
Australia,2004,9.5,5,9,8,10,41.5
Australia,2005,9.5,5,8.25,7.75,9.75,40.25
Australia,2006,9.29,5,8.21,9.13,10,41.63
Australia,2007,9.46,5,8.67,8.63,9.83,41.59
Australia,2008,9,5,8.33,8.5,9.58,40.41
Australia,2009,9.33,5,5.71,6.63,10.21,36.88
Australia,2010,9.67,5,6.67,6.17,10.5,38.01
Australia,2011,8.67,5,7.33,6.5,10.5,38
Australia,2012,9.04,5,7.75,7.33,10.5,39.62
Australia,2013,9.29,5,7.79,7.25,10.5,39.83
Austria,1984,8.5,4.24,8.47,8.47,12.71,42.39
Austria,1985,8.5,3.75,7.5,7.5,11.25,38.5
Austria,1986,9,3.75,7.5,7.5,11.25,39
Austria,1987,9,3.75,7.5,7.5,11.25,39
Austria,1988,9.21,3.54,7.08,7.08,10.63,37.54
Austria,1989,9,3.65,7.29,7.29,10.94,38.17
Austria,1990,9,3.58,7.15,7.15,10.73,37.61
Austria,1991,8.33,3.65,7.29,7.29,10.94,37.5
Austria,1992,8.5,3.75,7.5,7.5,11.25,38.5
Austria,1993,8.5,3.51,7.02,7.02,10.52,36.57
Austria,1994,9.25,2.57,5.14,5.14,7.71,29.81
Austria,1995,9,2.5,5,5,7.5,29
Austria,1996,9.42,2.99,6.04,6.04,9.06,33.55
Austria,1997,9.92,3.92,6.85,6.68,10.44,37.81
Austria,1998,10,5,7.92,6.5,11.08,40.5
Austria,1999,10,4.59,7.58,6.5,10.83,39.5
Austria,2000,9.96,5,8.25,6.79,10.5,40.5
Austria,2001,9.67,5,7.63,7.42,10.58,40.3
Austria,2002,9.75,5,6.54,7.5,10.75,39.54
Austria,2003,10,5,6.25,7.42,11.17,39.84
Austria,2004,9.88,5,7,7.33,11.5,40.71
Austria,2005,10,5,7.5,7,11.5,41
Austria,2006,10,5,7.67,7,11.67,41.34
Austria,2007,10,5,8.29,7.17,12.88,43.34
Austria,2008,9.79,5,7.67,7.5,13.21,43.17
Austria,2009,9.63,5,4.13,6.38,12.63,37.77
Austria,2010,9.5,5,4.08,5.83,12.58,36.99
Austria,2011,9.29,5,6.79,5.42,12.58,39.08
Austria,2012,9,5,6,6,10.88,36.88
Austria,2013,9.17,5,6.17,6,11.33,37.67
Azerbaijan,1984,NA,NA,NA,NA,NA,0
Azerbaijan,1985,NA,NA,NA,NA,NA,0
Azerbaijan,1986,NA,NA,NA,NA,NA,0
Azerbaijan,1987,NA,NA,NA,NA,NA,0
Azerbaijan,1988,NA,NA,NA,NA,NA,0
Azerbaijan,1989,NA,NA,NA,NA,NA,0
Azerbaijan,1990,NA,NA,NA,NA,NA,0
Azerbaijan,1991,NA,NA,NA,NA,NA,0
Azerbaijan,1992,NA,NA,NA,NA,NA,0
Azerbaijan,1993,NA,NA,NA,NA,NA,0
Azerbaijan,1994,NA,NA,NA,NA,NA,0
Azerbaijan,1995,NA,NA,NA,NA,NA,0
Azerbaijan,1996,NA,NA,NA,NA,NA,0
Azerbaijan,1997,NA,NA,NA,NA,NA,0
Azerbaijan,1998,NA,NA,NA,NA,NA,0
Azerbaijan,1999,8.5,0.03,10,6.21,1.92,26.66
Azerbaijan,2000,8.5,0,10,5.5,5,29
Azerbaijan,2001,8.75,0.04,9.88,6,8.25,32.92
Azerbaijan,2002,9.63,0.5,10,6,9.54,35.67
Azerbaijan,2003,9.17,0.5,10,7,8.5,35.17
Azerbaijan,2004,9.17,0.5,10,7.5,7.38,34.55
Azerbaijan,2005,8.5,0.5,10,7.5,10.5,37
Azerbaijan,2006,7.46,0.75,10,7.75,12.75,38.71
Azerbaijan,2007,6.13,1,10,7.92,15,40.05
Azerbaijan,2008,5.17,1,10,5.25,15,36.42
Azerbaijan,2009,6.67,1.42,9.5,4.25,14.67,36.51
Azerbaijan,2010,9.42,1.58,9.88,3.79,15,39.67
Azerbaijan,2011,8.08,1.88,8.25,1.46,15,34.67
Azerbaijan,2012,8.21,1.71,6.75,1,15,32.67
Azerbaijan,2013,8.92,2,7.88,3.5,15,37.3
Bahamas,1984,NA,NA,NA,NA,NA,0
Bahamas,1985,8.5,3.33,6.67,6.67,10,35.17
Bahamas,1986,8.5,3.33,6.67,6.67,10,35.17
Bahamas,1987,8.5,3.37,6.74,6.74,10.11,35.46
Bahamas,1988,8,3.33,6.67,6.67,10,34.67
Bahamas,1989,8,3.33,6.67,6.67,10,34.67
Bahamas,1990,8.5,3.33,6.67,6.67,10,35.17
Bahamas,1991,8.5,3.33,6.67,6.67,10,35.17
Bahamas,1992,8.5,3.3,6.6,6.6,9.9,34.9
Bahamas,1993,8.5,2.57,5.14,5.14,7.71,29.06
Bahamas,1994,8.5,2.5,5,5,7.5,28.5
Bahamas,1995,8.75,2.5,5,5,7.5,28.75
Bahamas,1996,9.42,2.67,5.35,5.35,8.02,30.81
Bahamas,1997,10,3.38,6.93,6.26,9.48,36.05
Bahamas,1998,10,3.96,8.5,6.17,9.21,37.84
Bahamas,1999,10,3.33,7.5,6.5,7.92,35.25
Bahamas,2000,9.71,4,6.5,6.5,7.5,34.21
Bahamas,2001,9.5,4,7.83,6.5,8,35.83
Bahamas,2002,9.5,4,8.5,6.5,8,36.5
Bahamas,2003,9.5,4,8.08,6.5,8.21,36.29
Bahamas,2004,9.79,4.29,8.08,6.5,9.08,37.74
Bahamas,2005,10,4,8.5,6.5,9.25,38.25
Bahamas,2006,10,4,8.5,6.5,8.5,37.5
Bahamas,2007,9.54,4,8.96,6.04,8.5,37.04
Bahamas,2008,9.5,4,9,6.5,9.5,38.5
Bahamas,2009,9.17,3.67,5.67,6.5,9.83,34.84
Bahamas,2010,9.92,3.5,5.38,5.58,8.63,33.01
Bahamas,2011,10,3.5,5.5,5.5,8.5,33
Bahamas,2012,9.63,4,7,5.13,6.25,32.01
Bahamas,2013,9.5,4,7.5,5,5.5,31.5
Bahrain,1984,NA,2.85,5.7,5.7,8.54,22.79
Bahrain,1985,8.5,2.74,5.49,5.49,8.23,30.45
Bahrain,1986,9,2.5,5,5,7.5,29
Bahrain,1987,9.92,2.5,5,5,7.5,29.92
Bahrain,1988,10,2.26,4.51,4.51,6.77,28.05
Bahrain,1989,10,2.08,4.17,4.17,6.25,26.67
Bahrain,1990,9.71,2.05,4.1,4.1,6.15,26.11
Bahrain,1991,9.5,2.05,4.1,4.1,6.15,25.9
Bahrain,1992,9.5,2.5,5,5,7.5,29.5
Bahrain,1993,9.21,2.5,5,5,7.5,29.21
Bahrain,1994,9.13,2.5,5,5,7.5,29.13
Bahrain,1995,9,2.5,5,5,7.5,29
Bahrain,1996,9,2.5,5,5,7.5,29
Bahrain,1997,9.5,2.94,6.38,5.54,9.65,34.01
Bahrain,1998,9.92,3.5,8.5,5.83,13.33,41.08
Bahrain,1999,9.5,2.8,7.5,4.71,11.33,35.84
Bahrain,2000,9.5,3.5,9,5.5,9.5,37
Bahrain,2001,9.5,3.5,9,6,9.5,37.5
Bahrain,2002,9.5,3.54,9,6,10.17,38.21
Bahrain,2003,9.5,3.5,9,6,10.5,38.5
Bahrain,2004,9.5,3.5,9,6,10.5,38.5
Bahrain,2005,9.5,3.5,9,6,14,42
Bahrain,2006,9.88,3.5,9.38,9,14.75,46.51
Bahrain,2007,10,3.5,9.5,10,15,48
Bahrain,2008,9.58,4.75,9.92,10,15,49.25
Bahrain,2009,9.21,4.88,8.54,6.21,13.83,42.67
Bahrain,2010,9,4.96,8.5,6.79,13.75,43
Bahrain,2011,9,5,9,7.5,13,43.5
Bahrain,2012,9,3.5,8.17,6.88,12.58,40.13
Bahrain,2013,9.33,3.5,8,5.67,13.33,39.83
Bangladesh,1984,6.58,2.36,4.72,4.72,7.08,25.46
Bangladesh,1985,5.96,2.08,4.17,4.17,6.25,22.63
Bangladesh,1986,7,2.08,4.17,4.17,6.25,23.67
Bangladesh,1987,7,2.08,4.17,4.17,6.25,23.67
Bangladesh,1988,6.42,1.7,3.4,3.4,5.11,20.03
Bangladesh,1989,6,1.32,2.64,2.64,3.96,16.56
Bangladesh,1990,6,1.39,2.78,2.78,4.17,17.12
Bangladesh,1991,6.33,1.6,3.2,3.2,4.79,19.12
Bangladesh,1992,7.5,2.19,4.38,4.38,6.56,25.01
Bangladesh,1993,7.92,2.08,4.17,4.17,6.25,24.59
Bangladesh,1994,7.5,2.08,4.17,4.17,6.25,24.17
Bangladesh,1995,8.08,2.08,4.17,4.17,6.25,24.75
Bangladesh,1996,8.42,2.08,4.17,4.17,6.25,25.09
Bangladesh,1997,8.83,1.67,6.5,4.67,8.5,30.17
Bangladesh,1998,8.25,0,8.17,3.79,10.83,31.04
Bangladesh,1999,8.88,0,8.33,5.29,11.13,33.63
Bangladesh,2000,7.5,0,9.5,5.5,11,33.5
Bangladesh,2001,7.83,0,9.38,5.5,11,33.71
Bangladesh,2002,8.79,0,9.08,5.5,11,34.37
Bangladesh,2003,8.71,0,9.21,5.38,12.46,35.76
Bangladesh,2004,8.5,0,9.5,5.5,12,35.5
Bangladesh,2005,8.04,0,9.25,5.75,11.54,34.58
Bangladesh,2006,8,0,9.96,5.5,11.29,34.75
Bangladesh,2007,8,0,10,5.83,11.67,35.5
Bangladesh,2008,8,0,10,6,11.5,35.5
Bangladesh,2009,8.29,0,9.42,5.13,11.5,34.34
Bangladesh,2010,7.92,0,9.46,4.96,12.04,34.38
Bangladesh,2011,7.63,0,9.58,5.08,12.42,34.71
Bangladesh,2012,7.25,0,10,5.04,11.75,34.04
Bangladesh,2013,7.58,0,9.92,5,12.08,34.58
Belarus,1984,NA,NA,NA,NA,NA,0
Belarus,1985,NA,NA,NA,NA,NA,0
Belarus,1986,NA,NA,NA,NA,NA,0
Belarus,1987,NA,NA,NA,NA,NA,0
Belarus,1988,NA,NA,NA,NA,NA,0
Belarus,1989,NA,NA,NA,NA,NA,0
Belarus,1990,NA,NA,NA,NA,NA,0
Belarus,1991,NA,NA,NA,NA,NA,0
Belarus,1992,NA,NA,NA,NA,NA,0
Belarus,1993,NA,NA,NA,NA,NA,0
Belarus,1994,NA,NA,NA,NA,NA,0
Belarus,1995,NA,NA,NA,NA,NA,0
Belarus,1996,NA,NA,NA,NA,NA,0
Belarus,1997,NA,NA,NA,NA,NA,0
Belarus,1998,3.06,0.5,10,6,10,29.56
Belarus,1999,0.46,0.39,8.88,6.38,9.58,25.69
Belarus,2000,0.38,0.5,9,7.42,9.25,26.55
Belarus,2001,2.5,0.13,8.5,7,10.5,28.63
Belarus,2002,3.75,0,8.5,6.5,11.5,30.25
Belarus,2003,3.67,0.38,9,6.5,10.83,30.38
Belarus,2004,4.63,0.88,9.58,6.79,10.5,32.38
Belarus,2005,6,1,10,7,11,35
Belarus,2006,6.33,1,9.33,7.33,11,34.99
Belarus,2007,6.5,1,9,7.5,11,35
Belarus,2008,6.5,1,9.42,6.67,9.96,33.55
Belarus,2009,6.5,0.79,6.25,6.54,8.92,29
Belarus,2010,7.13,1,4.13,7.38,9.08,28.72
Belarus,2011,6.71,1.5,8.83,6.5,7.83,31.37
Belarus,2012,4.13,1.5,6.75,7.25,8.63,28.26
Belarus,2013,3.92,1.5,6.63,7.71,9.42,29.18
Belgium,1984,8,4.13,8.27,8.27,12.4,41.07
Belgium,1985,8.5,3.75,7.5,7.5,11.25,38.5
Belgium,1986,8.5,4.06,8.13,8.13,12.19,41.01
Belgium,1987,9.88,3.92,7.85,7.85,11.77,41.27
Belgium,1988,9.75,3.37,6.74,6.74,10.11,36.71
Belgium,1989,9.25,3.16,6.32,6.32,9.48,34.53
Belgium,1990,9,3.13,6.25,6.25,9.38,34.01
Belgium,1991,8.5,3.02,6.04,6.04,9.06,32.66
Belgium,1992,9,2.71,5.42,5.42,8.13,30.68
Belgium,1993,9,2.47,4.93,4.93,7.4,28.73
Belgium,1994,9,2.19,4.38,4.38,6.56,26.51
Belgium,1995,9.21,2.78,5.56,5.56,8.34,31.45
Belgium,1996,9.63,3.13,6.25,6.25,9.38,34.64
Belgium,1997,9.75,3.92,6.85,6.56,11.15,38.23
Belgium,1998,10,5,7.96,6.67,13.5,43.13
Belgium,1999,10,4.52,7.33,6.96,13.04,41.85
Belgium,2000,9.75,5,8.38,7.67,13.13,43.93
