country,year,Liq_risk
Argentina,1990,0.515325671
Argentina,1991,0.197956577
Argentina,1992,0.115776081
Argentina,1993,0.158182813
Argentina,1994,0.180769231
Argentina,1995,0.208241758
Argentina,1996,0.258057676
Argentina,1997,0.241744207
Argentina,1998,0.318291472
Argentina,1999,0.384535005
Argentina,2000,0.503525641
Argentina,2001,0.604971019
Argentina,2002,0.564888496
Argentina,2003,0.377757067
Argentina,2004,0.345207803
Argentina,2005,0.367954756
Argentina,2006,0.396942801
Argentina,2007,0.381272778
Argentina,2008,0.355779717
Argentina,2009,0.407375479
Argentina,2010,0.345019157
Argentina,2011,0.3684803
Argentina,2012,0.438650593
Argentina,2013,0.390018666
Argentina,2014,0.343516838
Argentina,2015,0.329401089
Argentina,2016,0.202745849
Australia,1985,0.304155615
Australia,1986,0.258276845
Australia,1987,0.24984407
Australia,1988,0.256108983
Australia,1989,0.279621125
Australia,1990,0.304905161
Australia,1991,0.274615704
Australia,1992,0.293804367
Australia,1993,0.246071721
Australia,1994,0.23437247
Australia,1995,0.266321913
Australia,1996,0.248346056
Australia,1997,0.233355021
Australia,1998,0.228277624
Australia,1999,0.275575135
Australia,2000,0.291581575
Australia,2001,0.369363453
Australia,2002,0.37829128
Australia,2003,0.377083981
Australia,2004,0.32702984
Australia,2005,0.314583333
Australia,2006,0.298825684
Australia,2007,0.254523408
Australia,2008,0.313933512
Australia,2009,0.369375235
Australia,2010,0.3407733
Australia,2011,0.324183318
Australia,2012,0.376034105
Australia,2013,0.364837238
Australia,2014,0.35886706
Australia,2015,0.338646978
Australia,2016,0.288925379
Austria,1985,0.314559387
Austria,1986,0.354553493
Austria,1987,0.342799189
Austria,1988,0.413975552
Austria,1989,0.303044872
Austria,1990,0.204909891
Austria,1991,0.228491815
Austria,1992,0.38044151
Austria,1993,0.373796841
Austria,1994,0.378048781
Austria,1995,0.374273504
Austria,1996,0.411950513
Austria,1997,0.447899001
Austria,1998,0.469261691
Austria,1999,0.520618369
Austria,2000,0.453868394
Austria,2001,0.423922742
Austria,2002,0.428657589
Austria,2003,0.442942943
Austria,2004,0.353776704
Austria,2005,0.235604396
Austria,2006,0.21174359
Austria,2007,0.153116531
Austria,2008,0.187861757
Austria,2009,0.226871583
Austria,2010,0.200191571
Austria,2011,0.17861844
Austria,2012,0.211404102
Austria,2013,0.199727086
Austria,2014,0.158872126
Austria,2015,0.133267936
Austria,2016,0.071739992
Bahrain,2004,0.873500545
Bahrain,2005,0.763675214
Bahrain,2006,0.845128205
Bahrain,2007,0.838058748
Bahrain,2008,0.791603053
Bahrain,2009,0.879070881
Bahrain,2010,0.904214559
Bahrain,2011,0.928959276
Bahrain,2012,0.93216137
Bahrain,2013,0.911637931
Bahrain,2014,0.886733717
Bahrain,2015,0.911877395
Bahrain,2016,0.908764368
Bangladesh,2005,0.2375
Bangladesh,2006,0.259615385
Bangladesh,2007,0.130964821
Bangladesh,2008,0.115866958
Bangladesh,2009,0.089399745
Bangladesh,2010,0.103335587
Bangladesh,2011,0.133867521
Bangladesh,2012,0.150030248
Bangladesh,2013,0.163409962
Bangladesh,2014,0.15624708
Bangladesh,2015,0.144061303
Bangladesh,2016,0.180076628
Belgium,1985,0.29608344
Belgium,1986,0.299425287
Belgium,1987,0.318092805
Belgium,1988,0.319444444
Belgium,1989,0.321893491
Belgium,1990,0.31138976
Belgium,1991,0.328886152
Belgium,1992,0.351492019
Belgium,1993,0.33908046
Belgium,1994,0.379995779
Belgium,1995,0.338118132
Belgium,1996,0.313445772
Belgium,1997,0.322737069
Belgium,1998,0.3132843
Belgium,1999,0.329027855
Belgium,2000,0.278781651
Belgium,2001,0.357589001
Belgium,2002,0.37459556
Belgium,2003,0.335631795
Belgium,2004,0.285054239
Belgium,2005,0.254206731
Belgium,2006,0.259160587
Belgium,2007,0.260743502
Belgium,2008,0.261636713
Belgium,2009,0.277228311
Belgium,2010,0.314735576
Belgium,2011,0.307108775
Belgium,2012,0.137712871
Belgium,2013,0.111376655
Belgium,2014,0.109399993
Belgium,2015,0.10378306
Belgium,2016,0.125385963
Botswana,2010,0.790708812
Botswana,2011,0.799038462
Botswana,2012,0.873563218
Botswana,2013,0.808429119
Botswana,2014,0.783312048
Botswana,2015,0.783045977
Botswana,2016,0.72669221
Brazil,1992,0.755089059
Brazil,1993,0.80161771
Brazil,1994,0.556370192
Brazil,1995,0.671358429
Brazil,1996,0.674420279
Brazil,1997,0.658388068
Brazil,1998,0.696403042
Brazil,1999,0.714656796
Brazil,2000,0.70994831
Brazil,2001,0.72767909
Brazil,2002,0.72288029
Brazil,2003,0.691983495
Brazil,2004,0.649867614
Brazil,2005,0.597619048
Brazil,2006,0.513930951
Brazil,2007,0.416148716
Brazil,2008,0.380553924
Brazil,2009,0.396063406
Brazil,2010,0.341311047
Brazil,2011,0.29630273
Brazil,2012,0.259627665
Brazil,2013,0.233119371
Brazil,2014,0.243329617
Brazil,2015,0.278053325
Brazil,2016,0.265536271
Bulgaria,2005,0.165384615
Bulgaria,2006,0.246634615
Bulgaria,2007,0.402179119
Bulgaria,2008,0.481960248
Bulgaria,2009,0.636729658
Bulgaria,2010,0.696947225
Bulgaria,2011,0.729337451
Bulgaria,2012,0.770989833
Bulgaria,2013,0.751390434
Bulgaria,2014,0.724137931
Bulgaria,2015,0.769124059
Bulgaria,2016,0.760713779
Canada,1985,0.346475096
Canada,1986,0.318112156
Canada,1987,0.297563686
Canada,1988,0.38105947
Canada,1989,0.331623932
Canada,1990,0.340829585
Canada,1991,0.350064613
Canada,1992,0.337386828
Canada,1993,0.310772919
Canada,1994,0.291787942
Canada,1995,0.301811053
Canada,1996,0.239960944
Canada,1997,0.192970182
