Year,Div_world_mean,Bulgaria,Greece,Hong Kong,Italy,Japan,Malaysia,Mexico,New Zealand,Singapore,Turkey,Australia,Belgium,Canada,France,Germany,Netherlands,South Africa,UK,US
2001,84.55044647497401,NA,NA,NA,80.90765672186116,NA,NA,NA,NA,NA,NA,87.98640919389025,71.9624941704975,94.50332118299902,94.92020822325478,80.652127937173,60.87623508383185,99.88688836168,82.67204086474904,91.13708300980345
2002,85.83314844028979,NA,NA,NA,87.97341008150342,86.53045843319236,NA,NA,NA,NA,NA,89.70378282964609,66.37608979778223,89.40060726480912,91.37199921179973,74.49331260800341,74.88097385862189,100,91.14276717627672,92.2912315815528
2003,90.06568269355466,NA,NA,NA,94.20638788162852,95.74818762690197,NA,NA,96.32763548778058,NA,NA,89.9966322006394,72.7206343743232,79.16095565173333,92.031131981772,97.66202764569762,80.52943586036172,98.55675390556465,88.7800395260187,95.06837018023427
2004,73.6920479287444,NA,NA,NA,69.01848069443636,87.33538067624377,NA,NA,68.17363341113372,NA,NA,53.67486866659609,58.50859850281825,67.05125267757464,88.01940220724845,97.08084189175652,53.29545294897139,85.45830843120547,63.00694827590186,93.68140676104632
2005,85.9579084211618,NA,NA,NA,85.49090039304338,85.44047396740373,NA,NA,87.10565776560442,100,NA,81.08715634034502,74.77669524673836,93.61978187882714,95.16430960754245,97.71647126637941,59.038866636172074,90.72660430017737,68.57827890470514,98.70761316816503
2006,80.20418160091783,86.85560070755558,81.11957594315322,96.2714318887891,64.61010847216453,92.54865457297782,NA,NA,94.3152660734431,84.55916535848692,NA,87.68371820196153,74.22213975648508,85.20443119751364,69.30444798429195,85.39061462467276,42.000598437038875,89.62493537309652,59.87600263870224,89.68021438435244
2007,66.97546763076376,99.76245230971327,88.84338463553803,88.26246408561173,54.065570395766414,85.65850959026807,NA,NA,70.42072670774566,71.74583046796577,NA,76.06422979579492,47.550402931548874,66.78845475158187,23.86079848322209,68.81235558690838,31.421623008502664,88.7296519627834,35.89164717608973,73.72938020317929
2008,56.633204790641926,88.92636171294683,59.764181108555526,80.27056697529697,44.700403452719705,81.74261465670037,NA,NA,48.51586407411752,67.43836664727013,NA,59.91587906581552,35.5955686010408,44.09298512233859,17.477307338814573,78.02338243560317,22.409941787908515,72.2894735929215,36.73636175725279,68.2320183209683
2009,64.16797376451257,91.08944923633628,83.08632660150683,99.26254712459661,52.42744551588001,92.11462235889508,NA,NA,59.43139580407977,66.85417979090492,NA,77.46249578579368,33.809437799069954,44.99877772439109,20.281546025975082,77.08854922973651,26.279815673289754,75.48243623831304,43.496863100534114,83.52169222289825
2010,59.288502638690794,77.99885473070412,79.80788163283863,95.6568834445123,38.235661944403176,95.94627058195063,99.10824489211363,NA,65.39054855954082,55.895268280838316,NA,57.34954272871704,22.15895409449149,41.678390144190345,11.758504716519946,84.90983373520825,16.896803447010843,72.11645817326803,31.119857032948083,61.87658671848778
2011,52.76423566889256,72.88942013712521,81.87998660954423,86.37004158686271,30.818953643367553,96.59150628336067,83.87921005019506,67.23237949648113,52.766326366613946,44.310332525204444,71.80006150195801,50.710696288382884,22.148138266181448,38.37147499291702,7.4434572582399605,47.27958941787824,10.415845535223811,63.46126898642444,21.95178922964639,52.1999995333515
2012,64.76000272870559,79.73949884230218,92.40258899220136,98.14744476346567,51.683383685315185,94.5285948605284,95.86155507639714,76.00441670139524,58.95062204428664,59.23698323095423,81.07350482447609,74.60808297252659,31.072086866987437,65.92946413892564,13.797378476016897,62.989204818742905,20.72949906537458,72.96962014162727,28.333847705776606,72.38227463810601
2000,91.27614218504623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.55345111234894,76.13371324490191,100,98.07240471965642,87.15403092040414,74.41236501956064,99.38019283284176,90.80525048263542,99.9738713330668
