Year,Div_world_mean,Belgium,Bulgaria,Canada,France,Germany,Greece,Hong Kong,Italy,Japan,Malaysia,Mexico,New Zealand,Singapore,South Africa,Turkey,Australia,Netherlands,UK,US
1986,94.8764423289441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,94.31080218869916,89.59691710564788,95.59805002142934
1987,90.30264256994167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.03086522080002,91.83620021837801,84.62504731095407,89.71845752963455
1988,91.48947937024704,NA,NA,NA,93.39791684804864,82.79442779909812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.45698121777164,87.81925830893998,92.71656022441641,97.75173182320749
1989,93.01637989126155,NA,NA,NA,86.891509989596,97.07021939612382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.41746546595357,88.82835563349576,87.89072886240011,100
1990,96.77001429690098,NA,NA,NA,98.54460879655909,96.91212662422943,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,98.41748298009485,90.87325872282169,92.64262295460182,100
1991,79.2281071825009,NA,NA,NA,88.58417697396159,90.52127590090643,NA,NA,NA,NA,NA,NA,NA,NA,96.76968702120293,NA,88.84299113094478,46.06558742797986,47.549735151154756,96.26329667135596
1992,90.8983499182201,NA,NA,NA,86.1975893172327,97.28835977109107,NA,NA,NA,NA,NA,NA,NA,NA,87.60973043839671,NA,91.59411038221913,86.58994548864446,87.21200819680281,99.79670583315384
1993,93.95132862865574,NA,NA,NA,97.50952857735163,94.1431967063562,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,97.20703332967628,83.4935939591959,85.30594782801019,100
1994,97.31534430919741,NA,NA,99.06497820866906,97.24004512590952,97.00862801303313,NA,NA,NA,NA,NA,NA,NA,NA,99.60382374267964,NA,98.8459712335798,94.79746511654146,94.0074167239302,97.9544263092365
1995,90.22377919684529,78.14827674053274,NA,97.81881673340406,95.3126476439391,59.89447726941371,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,99.21654699355777,92.05503013410836,92.63356976757335,96.93464748907844
1996,96.37903595836073,85.9792119539068,NA,100,100,96.48680384261618,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,97.34719340849574,96.86946836163473,92.24429492449231,98.48435113410086
1997,92.88157062453098,81.1512578008208,NA,98.04119323900616,89.2020995185235,98.45003339990733,NA,NA,NA,NA,NA,NA,NA,NA,99.98765097262935,NA,88.20320418762948,98.75770232480716,90.07647222792754,92.06452194952756
1998,92.7607076205322,86.74276795056522,NA,87.12204107898727,99.9905631664208,87.78871121149645,NA,NA,NA,NA,NA,NA,NA,NA,97.32872427873733,NA,93.66397358145299,90.4023766101474,93.37870362527143,98.42850708171098
1999,98.02273904306254,93.84039574610364,NA,98.385312705132975,96.18703188681961,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,99.354022282266385,99.67398868575393,96.70339465773627,98.06050542375004
2000,95.26853326770105,79.87370156202398,NA,100,98.38858047549272,87.55638185798925,NA,NA,99.6443529552659,NA,NA,NA,NA,NA,99.56032351737441,NA,94.86874051073839,96.07105064451285,96.72220115361296,100
2001,86.7859496275573,75.98096913806711,NA,94.96623360448025,92.85084670653472,82.24800255134174,NA,NA,75.25747023012266,NA,NA,NA,NA,NA,98.7123904058272,NA,88.18700911640076,83.95042601546906,81.51803317300312,94.18811533432644
2002,91.61065497047758,82.65525074066596,NA,86.04473807384974,97.36453754682465,87.28908903913613,NA,NA,86.88524371433392,98.06936613085742,NA,NA,NA,NA,100,NA,91.84200197956922,90.39135738465902,91.07524773612454,96.10037232923274
2003,90.438350216883,63.24586284952368,NA,82.36309080999821,93.44280276983868,99.79619358215514,NA,NA,90.349209598931,97.0893073413468,NA,NA,96.4789043601214,NA,100,NA,91.13274412241087,87.2097344397084,89.46502235436238,94.68733037419938
2004,76.55458580228083,58.82087927430032,NA,70.20126755247156,90.50700987855554,97.62839555361202,NA,NA,72.84474335249742,89.70255772923622,NA,NA,69.91867179006141,NA,83.15295765795348,NA,63.48062462464236,59.047485695455116,65.59084466235461,97.75959185622978
2005,87.30265287557556,77.2530832406672,NA,91.82716015633507,96.63427598360337,98.24312085496987,NA,NA,89.63880131186437,85.66202838001803,NA,NA,89.80827792992034,98.50709186611677,91.50537721804358,NA,83.14135536842441,65.29981518929779,68.4032162910839,99.01088359213756
2006,81.99825854857279,76.26364293067452,90.03573507904427,84.54866651974142,72.36066452587798,85.07226971171683,82.77493236465295,98.40273175220233,64.93179973899771,94.19270218344681,NA,NA,93.24251086049517,83.23165010492426,88.34589878537588,NA,87.806092516301,59.524050084012,59.710120617457285,91.52866900224416
2007,70.28568257688478,52.8734381874176,98.43509955140884,63.7895833187527,27.967047685969337,70.46277510467588,89.39634651270782,86.97583150595977,64.40880092793823,80.45259769505144,NA,NA,69.51105958679788,66.55204494893067,87.93030944484764,NA,86.12374078840202,48.456426422319666,49.404236218247775,81.83158333072916
2008,62.663679652635224,44.61009625583734,94.54799710893495,44.10249033684991,24.26234917093759,82.88995222193475,66.53805774935651,80.14064706573639,56.081077316872566,83.50018131759624,NA,NA,54.15880872483311,71.15943738402892,67.26733006286435,NA,67.2979745497381,38.12142788068811,41.1598890669022,86.78115822905261
2009,71.41117268183083,50.550563951914995,94.19602791616781,52.40406329014134,36.45494582373892,83.8743364748404,91.97672600854779,98.54005327490495,70.3345271879079,94.3893833432154,NA,NA,62.217745112563385,69.75800809067594,79.46593158544565,NA,77.62362556300356,43.91003921538288,46.215465786894264,90.66732028394809
2010,64.92324345974343,31.754000995669273,85.6682318059158,42.80850982995676,21.086163549571403,89.38708270602207,84.4586492317964,95.04856577082585,46.160055744406705,97.4210111069567,98.83108739942642,NA,69.2558031280064,59.19166620748958,75.99198596041938,NA,65.00274893972477,33.663470417047805,32.91211790540727,75.05398811699587
2011,56.43182436611566,28.25575088028771,77.22353033971982,38.4173110588389,11.049246377917044,51.10376032105384,84.19035577487305,86.01658491207283,38.13546700638184,97.43155786586549,85.94459262181003,72.08690940686587,54.978972695276916,48.352877731952304,64.02336746187946,71.08411731557861,54.68823298198422,23.51441967969572,24.352301663885978,61.35530686025794
2012,68.55083798882544,40.9201953310987,85.06330657494284,67.78544699120877,16.397994136036854,67.51767782875623,92.50216643677433,96.9569849451389,56.41015857297401,96.56154475356455,95.7102759279851,77.40759024729688,62.891358971618146,62.37121262419295,76.44760237533502,82.06527927958736,78.02553421364802,37.911730770335716,32.928463162195676,76.59139864499319
