Year,Div_world_mean,Australia,Austria,Belguim,Canada,China,Czech Rep.,Denmark,Finland,France,Germany,Greece,Hungary,India,Ireland,Italy,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,South Africa,South Korea,Spain,Sweden,Switzerland,UK,US
1986,55.151630498596965,NA,34.77747401782671,NA,99.14859928702414,NA,NA,NA,NA,38.87277244123858,24.438679980358003,NA,NA,NA,56.68279392627083,NA,58.52183245863475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.109813334217524,66.04449840574789,92.76821063605426
1987,55.60837254263442,83.74251173278354,35.14596428665635,NA,100,NA,NA,NA,NA,57.4323556255206,24.880991754287997,NA,NA,NA,45.168692886686415,NA,45.73357921982733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.877730118943877,52.388204762108735,84.71369503952937
1988,45.12478464304189,80.91211304731935,28.430230003855428,NA,87.67351941423364,NA,NA,NA,NA,40.10779919356416,19.944285436325803,NA,NA,NA,27.639197626842183,NA,NA,NA,11.049595164068348,NA,NA,NA,NA,NA,NA,NA,NA,26.216748082011986,41.76418970586313,87.51016875633492
1989,36.322043271213396,89.63859715106965,20.68349465117275,16.59580019416319,59.90159777139476,NA,NA,25.310171313122865,NA,18.362784077035677,13.02385599523539,NA,NA,NA,22.118672117966497,NA,NA,NA,10.637512750162037,NA,NA,NA,NA,NA,NA,NA,47.61560460778193,36.608725800034804,54.44070515006365,57.24904094657091
1990,47.618160117544896,94.79630501851369,30.088515654069848,32.94426856413495,93.77696017982674,NA,NA,32.94592773962434,NA,21.190878275336654,16.607510390127512,NA,NA,NA,26.609238198505412,NA,NA,NA,11.705065289032246,NA,NA,NA,NA,NA,NA,NA,60.20524032001134,46.70205746043856,68.68143250120696,82.78268193725542
1991,35.4477700102425,87.10583418542522,14.322888095772623,16.247517597073436,76.50763919366827,NA,NA,13.876963491668516,88.51831485222536,7.7189632782386,7.681506063010978,NA,NA,NA,9.84460050005136,13.143665205504785,NA,NA,5.644510613119424,88.18341694895415,NA,NA,NA,NA,NA,20.858542912906096,36.69428083883132,33.76665536971757,18.04920481298624,64.44758621496854
1992,44.69683638849509,87.73748715704801,15.581104585132444,19.18661589799866,77.78203602999115,NA,NA,29.03158891068224,71.16040736406381,20.979303055334565,9.328044637655319,NA,NA,NA,32.564979022975635,51.6162764531122,NA,NA,5.968921965689066,85.99463192341129,NA,NA,NA,NA,NA,57.218353318518425,39.699436886176485,26.090682020221443,53.99619838169247,75.91015099471338
1993,50.38481910370249,91.68854330132068,18.178923171132976,38.66034921734236,79.07142988334707,NA,NA,25.2640421349995,58.514116957148296,32.61181795189631,15.474570564553126,NA,NA,NA,38.70823372017564,71.32119739529088,87.56725439720566,NA,13.439816548964368,95.45829887402576,24.588516913361946,NA,35.32559268341955,NA,NA,57.90813857866027,71.35027624407024,25.68190614612309,49.5769170284867,77.30644036252541
1994,48.379697708260515,76.03831741045862,32.44311588207703,25.759140660961744,67.60898700389707,NA,NA,24.340669111147495,65.71881181588401,37.13004472988162,21.283807279273283,NA,NA,NA,31.96686943153534,68.56144831392652,NA,NA,20.155704713468303,84.80525716851788,43.50353043542279,NA,52.47143521403012,NA,NA,48.09467435865946,77.31348075382608,45.97592767924266,37.555682577382335,58.487351917357444
1995,42.000599918767094,82.96619137595222,8.275615576838325,11.794751246269474,83.81511354339143,NA,NA,14.351943056461359,38.901269599337105,38.976852121086566,6.218547983530365,NA,NA,NA,25.542549484383702,85.69540409369989,48.412715402260694,NA,10.07539930190383,89.12441585150344,16.92699689738334,NA,27.692589410995616,NA,NA,51.52885899836128,84.23913820145886,14.460443801635758,28.433174288317986,72.58002814057065
