Date,Australia,Austria,Belgium,Canada,China,Czech Rep.,Denmark,Finland,France,Germany,Greece,Hungary,India,Italy,Ireland,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,South Africa,South Korea,Spain,Sweden,Switzerland,UK,US
01/01/1985,NA,58.328,NA,72.604,NA,NA,NA,NA,NA,60.056,NA,NA,NA,NA,53.31,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.306,103.438,89.601
02/01/1985,NA,58.049,NA,72.682,NA,NA,NA,NA,NA,59.594,NA,NA,NA,NA,53.111,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.091,102.126,88.848
03/01/1985,NA,57.526,NA,72.837,NA,NA,NA,NA,NA,59.63,NA,NA,NA,NA,53.158,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.032,101.928,89.262
04/01/1985,NA,57.703,NA,72.423,NA,NA,NA,NA,NA,59.592,NA,NA,NA,NA,53.369,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.075,102.659,89.013
07/01/1985,NA,57.268,NA,71.731,NA,NA,NA,NA,NA,59.375,NA,NA,NA,NA,53.243,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.765,101.05,89.936
08/01/1985,NA,58.172,NA,72.521,NA,NA,NA,NA,NA,59.829,NA,NA,NA,NA,53.767,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.928,102.332,90.159
09/01/1985,NA,58.142,NA,73.127,NA,NA,NA,NA,NA,59.723,NA,NA,NA,NA,53.82,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.795,102.419,90.074
10/01/1985,NA,58.296,NA,72.93,NA,NA,NA,NA,NA,59.943,NA,NA,NA,NA,54.343,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.084,101.409,90.016
11/01/1985,NA,58.048,NA,72.569,NA,NA,NA,NA,NA,59.4,NA,NA,NA,NA,53.983,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.939,99.869,89.458
14/01/1985,NA,57.501,NA,72.746,NA,NA,NA,NA,NA,58.599,NA,NA,NA,NA,53.452,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.496,97.096,89.347
15/01/1985,NA,57.573,NA,72.52,NA,NA,NA,NA,NA,58.585,NA,NA,NA,NA,53.36,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.432,98.371,89.963
16/01/1985,NA,57.473,NA,72.411,NA,NA,NA,NA,NA,58.586,NA,NA,NA,NA,53.034,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.436,98.483,89.851
17/01/1985,NA,57.683,NA,72.26,NA,NA,NA,NA,NA,58.837,NA,NA,NA,NA,53.15,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.386,97.917,90.016
18/01/1985,NA,57.682,NA,72.195,NA,NA,NA,NA,NA,59.036,NA,NA,NA,NA,53.245,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.384,98.825,90.462
21/01/1985,NA,57.765,NA,72.318,NA,NA,NA,NA,NA,59.247,NA,NA,NA,NA,53.364,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.465,99.168,90.462
22/01/1985,NA,57.753,NA,72.444,NA,NA,NA,NA,NA,59.213,NA,NA,NA,NA,53.481,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.531,99.379,91.189
23/01/1985,NA,57.563,NA,72.173,NA,NA,NA,NA,NA,58.642,NA,NA,NA,NA,53.28,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.261,97.899,91.497
24/01/1985,NA,57.845,NA,72.996,NA,NA,NA,NA,NA,59.155,NA,NA,NA,NA,53.639,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.612,97.542,92.277
25/01/1985,NA,57.657,NA,73.312,NA,NA,NA,NA,NA,58.892,NA,NA,NA,NA,53.332,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.627,97.536,91.969
28/01/1985,NA,57.729,NA,73.42,NA,NA,NA,NA,NA,58.952,NA,NA,NA,NA,53.535,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.553,94.674,91.969
29/01/1985,NA,57.736,NA,73.018,NA,NA,NA,NA,NA,58.512,NA,NA,NA,NA,53.042,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.477,96.187,91.969
30/01/1985,NA,57.809,NA,73.667,NA,NA,NA,NA,NA,58.755,NA,NA,NA,NA,53.262,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.289,99.187,92.134
31/01/1985,NA,57.74,NA,73.666,NA,NA,NA,NA,58.559,58.967,NA,NA,NA,NA,53.321,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.284,99.953,91.662
01/02/1985,NA,57.5,NA,73.231,NA,NA,NA,NA,58.308,58.621,NA,NA,NA,NA,52.96,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.897,99.011,90.993
04/02/1985,NA,56.861,NA,72.462,NA,NA,NA,NA,58.566,56.988,NA,NA,NA,NA,52.511,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.222,97.843,90.716
05/02/1985,NA,56.655,NA,72.189,NA,NA,NA,NA,58.052,56.752,NA,NA,NA,NA,52.279,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.235,97.503,90.939
06/02/1985,NA,56.636,NA,72.181,NA,NA,NA,NA,58.006,56.869,NA,NA,NA,NA,52.96,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.257,97.722,90.435
