Date,Australia,Belgium,Bulgaria,Canada,France,Germany,Greece,Hong Kong,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,New Zealand,Portugal,Singapore,South Africa,Spain,Turkey,UK,US
01/01/1973,127.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.28,NA,NA,NA,NA,NA,NA,971.41,NA
02/01/1973,127.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.37,NA,NA,NA,NA,NA,NA,981.91,100
03/01/1973,125.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.98,NA,NA,NA,NA,NA,NA,960.47,100.3
04/01/1973,125.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.15,NA,NA,NA,NA,NA,NA,959.11,97.74
05/01/1973,125.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.05,NA,NA,NA,NA,NA,NA,967.08,98.34
08/01/1973,126.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.04,NA,NA,NA,NA,NA,NA,979.95,98.66
09/01/1973,126.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,979.77,99.3
10/01/1973,127.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.01,NA,NA,NA,NA,NA,NA,986.09,100
11/01/1973,120.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.17,NA,NA,NA,NA,NA,NA,985.82,101.8
12/01/1973,125.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.17,NA,NA,NA,NA,NA,NA,979.76,101.59
15/01/1973,126.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.86,NA,NA,NA,NA,NA,NA,982.62,103.5
16/01/1973,126.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.07,NA,NA,NA,NA,NA,NA,980.02,104.06
17/01/1973,125.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.87,NA,NA,NA,NA,NA,NA,965.38,104.77
18/01/1973,125.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.23,NA,NA,NA,NA,NA,NA,916.64,105.97
19/01/1973,125.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.77,NA,NA,NA,NA,NA,NA,896.26,106.61
22/01/1973,125.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.88,NA,NA,NA,NA,NA,NA,833.44,107.21
23/01/1973,125.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.89,NA,NA,NA,NA,NA,NA,811.57,108.45
24/01/1973,125.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.23,NA,NA,NA,NA,NA,NA,819.35,106.63
25/01/1973,128.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.28,NA,NA,NA,NA,NA,NA,801.91,106.63
26/01/1973,125.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.52,NA,NA,NA,NA,NA,NA,788.17,107.77
29/01/1973,125.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.72,NA,NA,NA,NA,NA,NA,771.83,105.58
30/01/1973,130.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.15,NA,NA,NA,NA,NA,NA,776.07,104.27
31/01/1973,133.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.89,NA,NA,NA,NA,NA,NA,791.45,105.36
01/02/1973,133.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.18,NA,NA,NA,NA,NA,NA,801.36,105
