"","Estimate","t value","Pr(>|t|)"
"Argentina",-1.9416679883976,-3.17947473285741,0.0045132788907842
"Australia",-2.07959379665767,-4.90671042188502,4.74516794058888e-05
"Austria",-1.81095334994926,-5.10016913281345,2.8767199040642e-05
"Bahrain",-0.743530225570706,-2.15723758561889,0.0539631339596547
"Bangladesh",0.451527693475737,3.96635453435071,0.000704087419995334
"Belgium",-1.84535882153275,-6.94208406714968,2.81698055035668e-07
"Botswana",-3.85115379619436,-0.920768804086426,0.425077989220938
"Brazil",-2.92943867476567,-8.35248434964492,1.0610713304495e-08
"Bulgaria",-3.62258566695817,-5.58083672269792,0.000233834474971438
"Canada",-1.93891449751159,-3.77475535660537,0.000881465933602416
"Chile",-2.24642774974689,-8.4264422130712,1.24346984793174e-08
"China",-1.10185285244908,-4.02233150969738,0.000883418263089132
"Colombia",-1.7958652305309,-4.31093162056524,0.00061806568543102
"Cote.d.Ivoire",0.635124953462875,0.521208682333664,0.610985637908368
"Croatia",-3.6438659683657,-5.51521995002831,7.61306813018143e-05
"Cyprus",-1.70832080404953,-0.615780527683478,0.557522660303306
"Czech.Rep.",-3.04204480569743,-6.61086003836773,4.41229325614878e-06
"Denmark",-3.02533407035011,-7.71937152929237,4.47740121823166e-08
"Ecuador",0.094451102643589,0.759465335238778,0.457977010449964
"Egypt",-1.21085525458411,-2.01467507640259,0.0610635620217244
"Estonia",-2.93533799497977,-9.25919213900421,1.3620978719365e-07
"Finland",-2.44113043769737,-7.30994292502694,1.49937738577679e-07
"France",-2.35481341899882,-7.53768194249186,6.83455937759316e-08
"Germany",-1.86774045475522,-6.59505493907399,6.5605800269748e-07
"Ghana",0.478604238790705,1.97106781791627,0.0674556257283915
"Greece",-1.80957855053451,-3.45642443041922,0.00214383627539166
"Hong.Kong",-1.4511545465825,-5.32004329663987,1.63188740888318e-05
"Hungary",-2.78138152669085,-8.30556545291054,6.50095645453265e-08
"Iceland",-1.37436293694177,-4.58543434314736,0.000229483311186011
"India",-2.08942202555207,-5.51539669995751,1.13427681138797e-05
"Indonesia",-5.14270525360022,-5.15917372602851,0.000425738077552988
"Ireland",-1.54830733723539,-4.15468556401334,0.000332720161271233
"Israel",-1.65492651946538,-5.26359533152604,2.13500949687319e-05
"Italy",-3.11014900952178,-7.4843900335258,7.74358935912408e-08
"Jamaica",0.172203682316035,0.443420319129148,0.665350676413985
"Japan",-0.51646383830811,-1.41098906893312,0.170571568204954
"Jordan",0.354860979046842,1.76080198261543,0.0921678052062911
"Kazakhstan",-2.262764649035,-0.551470898622867,0.610667640515987
"Kenya",-0.191086250610719,-1.90099136945589,0.07111574373695
"Kuwait",-0.0512154734057653,-0.358594616831026,0.724586129426121
"Latvia",-3.05658772608771,-8.24213664346639,4.91410878430159e-06
"Lebanon",34.7610203423111,34.7610203423111,34.7610203423111
"Lithuania",-3.79934708053814,-7.27117694651332,1.60039474140875e-05
"Luxembourg",-2.57087257602088,-2.44986488295701,0.0306007634963148
"Macedonia",-3.21601666505796,-1.93555527476172,0.101062781573747
"Malaysia",0.333919896140147,0.497277684772452,0.623338659540622
"Malta",-0.921183872232872,-1.47873606540791,0.159902524717521
"Mauritius",0.411814119666624,0.934879589667048,0.365696405177564
"Mexico",-2.86908476935548,-8.50899383801578,1.46487696829578e-08
"Montenegro",-0.0402580294888452,-0.288520348480715,0.780282920117076
"Morocco",-0.397233982171614,-0.93278545890367,0.360620245207887
"Namibia",2.48318695599454,3.18063020916432,0.0500697780035462
"Netherlands",-1.43125149893948,-9.91988133683681,3.7706611029205e-10
"New.Zealand",-1.71023284830225,-4.53492272712179,0.000148367412845573
"Nigeria",-0.0595563589874442,-0.475867998736354,0.640600897325646
"Norway",-1.87316205136105,-5.27563964786717,1.82946887940028e-05
"Oman",-0.638990444658232,-1.97587666558748,0.0682173965745401
"Pakistan",0.0765973464800817,0.850045546413268,0.404456193033426
"Panama",1.27413799341662,1.92832512187576,0.0729620203592302
"Peru",-1.82048270815878,-4.8519663853648,9.666882218462e-05
"Philippines",-1.49930102819324,-4.48500441707687,0.000168039712776075
"Poland",-3.90799840559445,-10.2306206578304,2.15329097313253e-09
"Portugal",-2.51420674860112,-5.5266948582091,1.74779277883085e-05
"Qatar",-1.65004925327165,-1.40170357226635,0.210557051706955
"Romania",-4.44554897177646,-5.35709137707717,0.000101148982428619
"Russia",-3.66054949427813,-5.60334871509602,3.96131890640609e-05
"Saudi.Arabia",-0.865348202826566,-1.38734975600665,0.188659768188115
"Serbia",-4.15895742357144,-1.50350004922865,0.2071416321533
"Singapore",-0.315092415723258,-0.649447223608659,0.521972099525348
"Slovakia",-0.856645672483333,-4.07902630777988,0.000704336840919904
"Slovenia",7.90927415457396,5.74664903278172,0.0104664450560351
"South.Africa",-2.0786387599271,-5.22339443681406,2.09307508989943e-05
"South.Korea",-2.85284141826391,-9.71772781698835,5.69641258987566e-10
"Spain",-2.29475785406131,-6.29672194924361,1.37214254007779e-06
"Sri.Lanka",0.118541665626312,0.846742223190412,0.406685187249328
"Sweden",-2.18123022432802,-7.11748395654657,1.84767355015e-07
"Switzerland",-0.861684438855521,-3.45421448008368,0.00197997292446489
"Taiwan",-2.37393359851196,-7.17225154855766,1.62097613259509e-07
"Thailand",-0.844604210271705,-2.74329261615256,0.0113216674340278
"Trinidad",0.131248485845164,1.16637702342196,0.261672302989939
"Tunisia",-0.650195466996008,-1.29497777204063,0.217854798611036
"Turkey",-2.56845978290756,-5.58920290870038,1.09498759797708e-05
"Ukraine",-2.57221396169545,-2.11048538846677,0.0793195771718858
"UAE",-2.12964246074254,-8.70926709047512,4.82566078317033e-09
"UK",-2.96305547006505,-1.91948380549011,0.0771404363808733
"US",-2.43176164541262,-5.64552337987081,7.08815074295492e-06
"Venezuela",0.118345070820292,0.77866889405085,0.444860895748622
"Vietnam",-0.763377885906263,-1.83281989708146,0.0940105177839581
"Zambia",-0.319919232444527,-1.71612312882457,0.108173992812009
