"","Estimate","t value","Pr(>|t|)"
"Argentina",-0.689441133691089,-1.18790786345979,0.245214782418103
"Australia",-1.26068630087474,-3.42135737992736,0.00176795068769416
"Austria",-1.41362475478074,-5.42096289158672,6.422176123107e-06
"Bahrain",-0.13935644176554,-0.758705193229947,0.460612165955054
"Belgium",-1.18117592553727,-3.97455761575619,0.000392056054992116
"Bosnia.and.Herzegovina",2.1593963286043,3.07107365378185,0.0219119106704241
"Botswana",-2.17587269994605,-5.68144286219839,1.22287953165646e-05
"Brazil",-1.70831669609109,-3.8739666053194,0.000517896305349927
"Bulgaria",-0.900916050118106,-1.47639316584262,0.159248428312486
"Cambodia",-0.229829220884188,-0.342855069170791,0.764389967458156
"Canada",-1.26422032195177,-3.09851529582226,0.0041134382046826
"Chad",0.0111951014234536,0.0149239224062202,0.988386427551687
"Chile",-1.64909863664384,-6.1990323840661,8.00414123654158e-07
"China",-0.748703417312742,-3.32362061870487,0.00264730810820969
"Côte.d.Ivoire",-0.28600674133024,-0.830599403940126,0.415543760133622
"Croatia",-1.15214791068939,-2.14826902729461,0.044123444683941
"Cyprus",1.2533640779252,1.04580814832871,0.314706324704288
"Denmark",-0.680616022590105,-2.395587003808,0.022818930810248
"Ecuador",0.149673478813478,0.978036285258012,0.341770284174687
"Egypt",-0.354590278628097,-1.5654179864719,0.131756719729423
"Estonia",-1.05286581024338,-2.05353230575806,0.0526838328173728
"Finland",-1.84008897739539,-6.50804187217904,3.40180219703092e-07
"France",-1.77273130420105,-6.0850491511571,9.63543529582787e-07
"Georgia",-2.28350430143331,-2.96004756965829,0.0211036335924146
"Germany",-1.33418827814671,-4.78372114446698,3.98870610880123e-05
"Ghana",0.0471504707574906,1.13204576203642,0.270376616243286
"Greece",-0.818553372266114,-2.34159894941698,0.0262809251278564
"Hong.Kong",-0.776330290583575,-2.70417690764625,0.011018340939045
"Hungary",-1.41254070459459,-3.15581615133456,0.0040188075688685
"Iceland",-0.369874653255466,-1.22998213606492,0.230624817800327
"India",-1.47144741466119,-6.0614819317615,1.1742642363637e-06
"Indonesia",-1.22490058057513,-3.00116744571951,0.00572929076939166
"Iraq",-2.77698102644917,-3.69109790726432,0.066194090360428
"Ireland",-0.969373898845016,-3.38732321291896,0.00193522314889961
"Israel",-1.31158627733958,-6.32438255483058,5.65148017233226e-07
"Italy",-2.21081158429801,-5.56637323790955,4.23352424532456e-06
"Jamaica",0.0185834508763546,0.313902235591116,0.756692225950159
"Japan",-0.309812426148317,-1.21106080694394,0.235024070643433
"Jordan",0.352368457448821,2.30845642048031,0.0285727352920525
"Kenya",-0.0255058634555944,-0.476200472480731,0.637762518148595
"Kuwait",-0.00414280740813017,-0.0295676632817237,0.976777531546835
"Lebanon",1.3253530255667,1.26388708982497,0.238023426815677
"Luxembourg",-0.886702173516593,-2.40789733958397,0.0237484558262294
"Macedonia",-0.126082943060129,-0.193014561609575,0.850175798200525
"Malaysia",0.19252904902563,0.48906283421764,0.628239696427625
"Malta",-0.251635991863717,-0.677323677255737,0.505594635392749
"Mauritius",-0.367416184046778,-3.38848112980392,0.00277198844552124
"Mexico",-1.63242848456498,-3.35646214017928,0.00221792264159198
"Montenegro",-0.822598631068397,-1.47850520103963,0.167327481364659
"Morocco",-0.122127496505332,-0.545175768072664,0.58980137823851
"Namibia",-2.22777406538898,-4.2029947603112,0.000597747595439022
"Netherlands",-1.03165368635626,-6.21154887173166,6.73061708647393e-07
"New.Zealand",-0.662923281269892,-1.92053378213711,0.0646725329736636
"Nigeria",-0.156198856197114,-1.88742033431824,0.0723672724546235
"Norway",-1.17266158308428,-3.86486575217368,0.0005310596413779
"Oman",-0.57036871704782,-2.17895417945906,0.0414660444945051
"Pakistan",0.0052783124061671,0.0583044843272524,0.95392021570367
"Palestinian.Territories",1.50586081503937,1.53843758954758,0.198768615823196
"Panama",0.562337813550986,1.51114723408313,0.143806935661154
"Peru",-1.14228988614426,-4.18889302724097,0.000285235843421001
"Philippines",-0.972202145150164,-3.8541459716625,0.000546983962353163
"Portugal",-0.0936120507678747,-0.155197386474219,0.879049524497642
"Qatar",-0.83164772812655,-3.27647545579482,0.00397015908858237
"Romania",-1.88797188274884,-2.72136652598577,0.0131478873574722
"Russia",-1.91522703090358,-3.12810824964157,0.00489245035368148
"Saudi.Arabia",-0.763739377216778,-2.67974939017393,0.014822203923879
"Serbia",0.933768939214152,0.788472753777325,0.448708239179212
"Singapore",-0.107768955492655,-0.365597119034702,0.717148648747929
"Slovakia",-0.340290905392365,-2.03733733760915,0.0527877733731083
"Slovenia",-2.85066318421547,-5.25209063456001,9.75507249762374e-05
"South.Africa",-1.55516625763288,-5.50771731561,5.00820372142783e-06
"South.Korea",-2.00673195723076,-6.71456144350424,1.63563478681462e-07
"Spain",-1.69916475482412,-5.28821081732193,9.39797286457584e-06
