"","Estimate","t value","Pr(>|t|)"
"Bosnia.and.Herzegovina",2.1593963286043,3.07107365378185,0.0219119106704241
"Botswana",-2.17587269994605,-5.68144286219839,1.22287953165646e-05
"Brazil",-1.70831669609109,-3.8739666053194,0.000517896305349927
"Bulgaria",-0.900916050118106,-1.47639316584262,0.159248428312486
"Cambodia",-0.229829220884188,-0.342855069170791,0.764389967458156
"Chad",0.0111951014234536,0.0149239224062202,0.988386427551687
"China",-0.748703417312742,-3.32362061870487,0.00264730810820969
"Côte.d.Ivoire",-0.28600674133024,-0.830599403940126,0.415543760133622
"Ecuador",0.149673478813478,0.978036285258012,0.341770284174687
"Egypt",-0.354590278628097,-1.5654179864719,0.131756719729423
"Georgia",-2.28350430143331,-2.96004756965829,0.0211036335924146
"Ghana",0.0471504707574906,1.13204576203642,0.270376616243286
"India",-1.47144741466119,-6.0614819317615,1.1742642363637e-06
"Indonesia",-1.22490058057513,-3.00116744571951,0.00572929076939166
"Iraq",-2.77698102644917,-3.69109790726432,0.066194090360428
"Jamaica",0.0185834508763546,0.313902235591116,0.756692225950159
"Jordan",0.352368457448821,2.30845642048031,0.0285727352920525
"Kenya",-0.0255058634555944,-0.476200472480731,0.637762518148595
"Lebanon",1.3253530255667,1.26388708982497,0.238023426815677
"Macedonia",-0.126082943060129,-0.193014561609575,0.850175798200525
"Malaysia",0.19252904902563,0.48906283421764,0.628239696427625
"Mauritius",-0.367416184046778,-3.38848112980392,0.00277198844552124
"Mexico",-1.63242848456498,-3.35646214017928,0.00221792264159198
"Montenegro",-0.822598631068397,-1.47850520103963,0.167327481364659
"Morocco",-0.122127496505332,-0.545175768072664,0.58980137823851
"Namibia",-2.22777406538898,-4.2029947603112,0.000597747595439022
"Nigeria",-0.156198856197114,-1.88742033431824,0.0723672724546235
"Oman",-0.57036871704782,-2.17895417945906,0.0414660444945051
"Pakistan",0.0052783124061671,0.0583044843272524,0.95392021570367
"Palestinian.Territories",1.50586081503937,1.53843758954758,0.198768615823196
"Panama",0.562337813550986,1.51114723408313,0.143806935661154
"Peru",-1.14228988614426,-4.18889302724097,0.000285235843421001
"Philippines",-0.972202145150164,-3.8541459716625,0.000546983962353163
"Romania",-1.88797188274884,-2.72136652598577,0.0131478873574722
"Russia",-1.91522703090358,-3.12810824964157,0.00489245035368148
"Serbia",0.933768939214152,0.788472753777325,0.448708239179212
"South.Africa",-1.55516625763288,-5.50771731561,5.00820372142783e-06
"South.Korea",-2.00673195723076,-6.71456144350424,1.63563478681462e-07
"Sri.Lanka",0.140877453342048,2.32109329203306,0.0270288763650175
"Taiwan",-1.98251854963705,-7.77698199293974,8.94418002038602e-09
"Thailand",-0.487005433888635,-2.24404574972041,0.0323620590136583
"Trinidad.and.Tobago",0.0301313820464048,0.981566026841332,0.33748774421537
"Tunisia",0.178773387020693,0.548302995846402,0.589868860974706
"Turkey",-1.48682291547387,-3.70651544043007,0.000882001190900742
"Uganda",0.000239247343928709,0.00162796133069922,0.99872579207531
"Ukraine",-2.09683992457487,-4.24806343809096,0.000434930008761072
"Venezuela",0.320482238097241,1.66181394712188,0.110121307258898
"Vietnam",0.232607878914056,0.451628234425018,0.661173737505789
"Zambia",-0.0161327606647631,-0.23350344762236,0.817743858829171
