Year,World Equity Diversification Index,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,Ukraine,UAE,UK,US,Venezuela,Vietnam,Zambia
1986,85.4861243488946,,99.7027849883349,69.4672093513122,,,67.4844295448264,,98.8398676413025,,97.6101921299744,,,,,,,,76.3465407120342,,,,,73.8647931738843,79.6326096652962,,,99.6995462837147,,,,,85.6503619215297,,86.0048411456638,,79.7225266938724,,,,,,,,,,100,,,,,,,60.8917713928369,,,89.9672717591037,,,,,,,,,,,,,96.888555643869,,,92.5830507997642,94.8739716962721,84.6652167770536,,87.8589023047175,52.3262896345475,94.0633391854589,,,,,,,84.265947041303,99.2569648867995,,,
1987,83.0676768775468,,73.5759577136686,93.8044670090309,,,88.7646776358502,,94.5504321137662,,72.2569629550785,83.0092801705877,,,,,,,100,,,,70.93982585883,84.4488848499278,79.9302849377351,,,88.9903208507569,,,98.7120530764085,,79.3597803277193,99.1052732624875,67.3092465843904,,73.5814261441064,,,,,,,,,,83.1524822054288,,,,,,,75.9925186163582,,,64.5633005129442,,,,,,,,,,,,,80.0787295794217,,,84.3927339829155,92.8539211139307,90.5689881953168,,74.0989855356833,62.2860978746997,98.7439875579474,90.5848332226192,,,,,,68.3841096081731,94.9230679530737,,,
1988,84.0894664837707,,72.0293889050663,91.642623777094,,,66.9749034473986,,100,,95.4865611474251,95.611893627424,,,,,,,97.6581740668187,,,,89.6970987693368,86.7598864139504,74.6285205210338,,,66.347095367455,,,98.6023844328829,,76.7855277702959,91.4596074757748,80.061194085939,,80.1248143968146,,,,,,,,,,65.6237709736826,,,100,,98.3862233987503,,70.7231019685301,87.9200142041659,,80.1514944438603,,,,,94.7876437487289,,,,,,,,55.8763334038705,,,90.8654682470229,97.8227458151838,60.9680546785051,,70.2512549870315,61.8359411354349,91.1042717544765,80.1963493994607,,,99.4071523660184,,,89.2523657187708,100,,,
1989,84.9296917796007,,96.0040022696788,77.3269502196167,,,94.8633939531542,,100,,98.7577183091971,94.0220004291268,,,,,,,93.7489300411957,,,,65.9623374589288,71.0686773033573,62.9387814499914,,85.7093488205884,94.9842270677356,,,94.7491067084922,,61.2360733485439,99.236861215334,61.593496185806,,76.0237638289986,97.4789184308545,,,,,,,,,88.1660220361079,,,99.6271756717492,,87.1799945900479,,52.5193564282254,87.5439195937235,,87.7503134499752,,95.5957202607107,,,90.2643721945638,,,,,,,,86.3921768049527,,,76.8490209339952,92.1281380746653,68.8425022937967,,63.1178462651759,73.4900057211078,98.270570814154,98.3083205733081,,,100,,,70.6485530983649,100,,,
1990,99.6284295845224,99.8901120005331,99.8783364496177,100,,98.6672389624786,100,,100,,100,100,,,,,,,100,,,,100,100,99.5399056052369,,98.6819654968127,99.6665213752425,,,100,,99.9492646860823,98.0473184614126,100,,100,97.395375852321,,99.8023964478086,,,,,,,99.7565049933349,,,100,,100,,100,99.4062328754107,,98.3452609315431,,100,,,99.8712648791777,,99.4960684860555,,,,,,100,,,97.6021405571784,99.4688033599541,100,100,100,100,100,99.2784058169561,,,100,,,100,100,99.2793548973082,,
1991,97.671969329022,99.120963516893,97.4583218437602,96.9383755422835,,98.7772652761414,94.8056114022726,,95.7626405652715,,96.7190559741849,100,,,,,,,99.0930018046396,,,,99.2672674429779,95.6807201699453,94.8832270377335,,96.5290587694842,97.713385467519,99.8762766234806,,98.3944375955838,,97.6107476386937,100,94.471124983676,,97.0402543551394,100,,100,,,,,,,97.9605228521449,,,96.4725559655023,,100,,97.6794746940987,100,,94.3066216911916,,100,,95.5733571931501,98.4217113414305,100,95.8289342296479,,,,,,91.5197187431179,,,97.7690928743803,99.3647998893663,93.7873066293186,99.6951312882429,94.7126379394621,97.5684280034838,99.4121949316492,98.3778474786246,,,99.3297101290578,,,98.813082145561,96.1757251059032,100,,
1992,84.4442724664303,96.34257932744,76.6824857538146,60.0323351355116,,88.3066286573441,58.0695101796978,,98.6231473599199,,97.1609472741254,98.5053352214568,,87.2784169541737,,,,,86.9043664390108,,,,71.7480625274113,54.0852756031311,50.5091220488894,,95.5086488678279,91.5651852766598,87.0275375411632,,100,,71.0724683422509,96.0659229426472,81.0210546967503,,82.7903242906208,87.6792365264431,,99.0544184937701,,,,,,,80.7949000884962,,,92.1256435486816,,93.3655798186038,,46.3738759584142,75.2934113828478,,84.6822365179217,,100,83.7961890198606,92.343139711703,99.6553084817672,90.4685185465609,100,,,,,,74.6750396001788,,,70.8170173125534,90.836507648602,74.4805183163687,100,73.8019627970058,55.8555107325509,97.5622406484058,99.7752170638832,,,96.7888352853814,,,65.183014036974,100,98.6174024118347,,
1993,97.0093418314191,99.3653355425777,96.4986950831072,91.9839339706899,,100,92.6805468122676,,99.3333244025289,,96.0625799915701,98.3944572477399,,99.3034960969128,,,,,98.9427854461607,100,,,93.9764468672389,91.9001126077113,91.9532784235697,,98.060383588613,98.5334981451398,98.1650603598935,97.5866790324023,97.5111553855252,,95.7627715232256,96.2245947805171,100,,98.2544980810089,97.0436509385172,,100,,,,,,,97.5146384311238,,,98.7690244019785,,94.2132793908269,,90.8766003470353,98.3047655382308,,96.7743574447117,,98.6779222940327,97.3171982618709,95.8716443808713,97.3276533882139,96.8361988032487,100,,,,,,97.2351105125519,,,96.9427668260623,96.5871501556694,96.0549571943083,98.8419069245284,98.2175321544401,92.8685319201551,100,91.2809491955396,,,100,,,94.1456980361356,98.7576249637438,99.5142966787568,,
1994,96.4752378742881,81.4632860593547,99.8072832833767,96.4715080632541,,99.2230749632149,97.1093989953179,,94.9062809327916,,89.7644650555696,94.2463926759876,100,99.1247739238944,,,,100,98.1287995782556,100,,,91.4243489320979,90.5722805323686,93.4908450729428,,100,98.1038243884144,96.1301517272973,99.167239418257,100,,92.6613398079188,100,97.6503928271797,,98.0896690405954,100,,100,,,,,,,100,,,86.6084671002202,,96.5024275519634,,90.4779936609508,96.7655414074483,,93.2099863586524,,99.4768954889396,100,89.6963145172472,99.9559857060062,100,100,,,,,,96.775248694592,99.8788922242932,,100,98.4653898109913,89.8646457086101,99.0088133244842,93.8262054469579,91.523236699596,99.926396983164,100,,,100,,,89.1517824503952,94.538028924666,100,,
1995,96.7029615868194,63.7094775022125,98.8163148570593,100,,100,97.2561768460432,,100,,96.19319324171,67.2245844223449,100,99.2952094631589,,,,97.2621538285186,100,100,98.8530067980864,,97.6404546330683,95.8984389348137,99.0241759905565,,99.272620189467,100,98.7744266372806,98.34407498751,99.0476680191886,,95.9986228018214,100,97.1525590865776,,100,99.9626417440514,,100,100,,,,,,100,,,79.4753982214733,,100,,98.9805746250118,100,100,90.7335892576106,,100,99.9010930585678,89.4755038577783,100,100,98.1734506989482,,,100,,,100,98.0139878189938,,96.760816178954,100,87.888888474923,96.1027343042353,92.742001949665,100,100,100,,,100,,,92.9010274204272,91.193944598645,100,,
