Year,Div_world_mean,Australia,Belguim,Bulgaria,Canada,France,Germany,Greece,Hong Kong,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Portugal,Singapore,South Africa,Spain,Turkey,UK,US
1986,95.70268060712571,99.7439181429209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.58073515115157,NA,NA,NA,NA,NA,NA,91.25394133356531,95.23212780086506
1987,92.39718511449837,96.14206546798553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.63986428637146,NA,NA,NA,NA,NA,NA,87.29710579610341,89.50970490753308
1988,93.80459252384414,96.28829121798118,NA,NA,NA,97.59668144985298,88.95691508800633,NA,NA,NA,NA,NA,NA,88.22573168123677,NA,NA,NA,NA,NA,NA,92.79573577499158,98.96419993099599
1989,95.81736541074133,98.25476580888413,NA,NA,NA,92.38826771917132,99.23890366056926,NA,NA,NA,NA,NA,NA,92.10644434356234,NA,NA,NA,NA,NA,NA,92.91581093226088,100
1990,96.65654348810124,100,NA,NA,NA,94.72182168101524,98.9573912421724,NA,NA,NA,NA,NA,NA,91.62537623344326,NA,NA,NA,99.4617613309876,NA,NA,91.82945392909014,100
1991,80.14903476451053,88.01459479564384,NA,NA,NA,81.78104080426174,93.68926033313876,NA,NA,NA,NA,NA,NA,47.15929763225901,NA,NA,NA,99.74046190171076,NA,NA,53.776461109049976,96.88212677550968
1992,92.65792509129581,93.9811542889271,NA,NA,NA,90.33059875882422,99.34117930905603,NA,NA,NA,NA,NA,NA,84.1407388152045,NA,NA,NA,96.57748232884504,NA,NA,84.2343221382138,100
1993,95.31370839370003,98.59345556152024,NA,NA,NA,99.37443895140485,96.18049863589225,NA,NA,NA,NA,NA,NA,83.70016854695436,NA,NA,NA,100,NA,NA,89.34739706012851,100
1994,96.00364536228594,99.41157158635119,NA,NA,98.7627900727754,95.95509370954079,95.84320938924465,NA,NA,NA,NA,NA,NA,92.29537394788416,NA,NA,NA,94.15173418107152,NA,NA,94.02102211633088,97.5883678950889
1995,93.16291288360826,99.41541133765519,87.1040909026072,NA,100,96.28928385504182,77.56726042240629,NA,NA,NA,NA,NA,NA,85.40921915818686,NA,NA,NA,98.2221613624979,NA,NA,94.65421005309544,99.80457886098361
1996,97.80696020581729,96.96424399404319,95.01554587153754,NA,99.00867903677857,100,100,NA,NA,NA,NA,NA,NA,97.31144224864218,NA,NA,NA,100,NA,NA,92.87594208069034,99.08678862066384
1997,95.76018674003186,88.15616142014741,92.92445045506209,NA,96.68880821210907,99.73427351663456,99.63083474758982,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,NA,NA,92.2041586244463,92.50299368429742
