Year,World_mean,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,UAE,UK,Ukraine,US,Venezuela,Vietnam,Zambia
1986,89.71949381502353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.71949381502353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,58.46122467697312,NA,38.78111799268154,72.8360715223057,NA,NA,53.91451432644815,NA,96.60875810257453,NA,40.18417611743049,80.31700647198315,NA,NA,NA,NA,NA,NA,95.36485490525176,NA,NA,NA,55.78817155395341,42.41290855799187,40.295233354456464,NA,NA,65.11633927576057,NA,NA,100,NA,51.247768397081586,95.63742885731764,57.735313704326764,NA,58.55098737481277,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24057224501673,NA,NA,NA,NA,NA,NA,24.4936911297029,NA,NA,39.10115199021358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.893127491727103,NA,NA,52.435879181944486,92.11117886882757,70.83727132442671,NA,44.200335837896596,19.249795855302665,93.5925462615651,72.79715317051512,NA,NA,NA,NA,37.655056706135845,NA,52.97710505456968,NA,NA,NA
1988,73.49968154063762,NA,68.139487737724,59.414199981763936,NA,NA,62.357605192515045,NA,100,NA,63.915942940148376,89.78937598058332,NA,NA,NA,NA,NA,NA,84.90432418303814,NA,NA,NA,69.7587586944367,74.02035373883453,59.71462856960079,NA,89.61058575915357,54.97175346833091,NA,NA,94.29955700431866,NA,75.91849808160114,92.85484973788668,68.48506738504716,NA,68.65642334544319,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.18055989423006,NA,NA,100,NA,76.60881155969143,NA,48.30108495286169,82.17609491915721,NA,77.04574941789554,NA,NA,NA,NA,90.73679013311393,NA,NA,NA,NA,NA,NA,NA,28.844079362719157,NA,NA,89.14278842190346,88.18046349993868,48.555805369225745,NA,63.02143000222449,47.82112841326608,92.19617641220857,77.41398218873977,NA,NA,96.52335040048932,NA,65.4179723018084,NA,83.51117487241729,NA,NA,NA
1989,67.58222228616702,NA,68.52875277325052,64.07045014523365,NA,NA,58.719107142695115,NA,100,NA,63.29934445838216,89.00911939298908,NA,NA,NA,NA,NA,NA,83.63498747946856,NA,NA,NA,61.464235243044904,34.98569920019885,34.158786434628155,NA,79.79662403246603,78.85228044530983,NA,NA,87.33879310809853,NA,39.19423837308778,93.47132220193818,51.04840516088133,NA,57.059054952939334,95.40137341317838,NA,NA,NA,NA,NA,NA,NA,NA,32.87387646822613,NA,NA,87.46579111021127,NA,67.05527845875007,NA,33.151041593811655,65.43567397343233,NA,61.538691347735686,NA,92.40129112387481,NA,NA,87.82094289465351,NA,NA,NA,NA,NA,NA,NA,35.41964839247225,NA,NA,66.8079011525707,89.37563547631136,42.700465141307454,NA,50.95685006861923,29.996839610997515,89.98853124458708,94.0381607007275,NA,NA,96.77007103453721,NA,54.87747931033768,NA,81.83548152722605,NA,NA,NA
1990,73.5886188890972,98.86552465800074,80.77506310790822,58.651492528247864,NA,87.41352536211808,38.1165234014315,NA,96.4997211933292,NA,76.53130947452435,91.38448662920655,NA,NA,NA,NA,NA,NA,90.77390073735512,NA,NA,NA,86.60299613352609,34.32950959722882,40.14926771666828,NA,91.50348080884162,50.85950985881161,NA,NA,99.0156925392983,NA,66.07802650185042,87.04446733175652,52.890713752766985,NA,64.76322075911781,85.14550363492938,NA,98.17345934765794,NA,NA,NA,NA,NA,NA,47.02792710967496,NA,NA,74.21923315119497,NA,95.39657437036519,NA,33.35257711455799,66.20546846557531,NA,67.18048142615677,NA,100,NA,NA,90.89340003223893,NA,89.05380526995658,NA,NA,NA,NA,NA,36.806165005045564,NA,NA,90.33030524372111,87.72040832093589,40.90124683601297,91.59562214423184,47.88903904698343,36.624234985323945,90.07014346262004,66.96646966322605,NA,NA,92.13247095252584,NA,63.51268184652055,NA,80.97816439039936,99.88679831933726,NA,NA
1991,66.3297572789013,98.60637624435077,69.69882330038668,28.424465458053795,NA,95.19209029384325,18.088159562475646,NA,98.30808845015693,NA,86.33779393034483,92.1675478800125,NA,NA,NA,NA,NA,NA,72.69261691506188,NA,NA,NA,54.966327669643256,17.493855357614496,16.072531071935348,NA,59.90374498331635,60.667512616113065,83.17873060349974,NA,97.94859068687279,NA,27.27551034741882,80.80728220592202,29.159380146802537,NA,54.55822307538389,84.1032543514851,NA,94.7135415429445,NA,NA,NA,NA,NA,NA,45.739885460552834,NA,NA,71.19013087911914,NA,96.00508180782218,NA,16.109129467727957,75.17372128807241,NA,47.30846063806353,NA,100,NA,93.91899732472127,89.6167061878803,99.34403906462464,81.47226622194265,NA,NA,NA,NA,NA,30.697696901013916,NA,NA,65.32586443737762,82.90025591140113,22.9053550578151,96.22249844851099,35.37833160058581,16.331108669023298,89.31599548084513,76.3982684851554,NA,NA,83.53822701712012,NA,29.989705864845064,NA,85.92266192160122,100,NA,NA
1992,77.59700775902289,93.24776789951198,68.46700466334687,48.419374282332704,NA,84.31251892036148,44.918283999055866,NA,99.58341088186874,NA,91.12708486291385,100,NA,91.13939367557688,NA,NA,NA,NA,83.5604035613199,NA,NA,NA,79.27904888893563,39.73102163967261,32.58218412232567,NA,77.71042889861185,77.450214825505185,83.94643638126777,NA,96.96043863320469,NA,60.76473260615578,98.87129822973601,74.57589041874112,NA,80.29100924404167,81.86129630426234,NA,99.8317487824642,NA,NA,NA,NA,NA,NA,66.5345861929386,NA,NA,87.09193858320809,NA,93.7770311043671,NA,29.392509785065947,65.99637345646234,NA,71.47064623283723,NA,96.83093133130562,39.84063189220966,93.77845552972258,96.67322491600122,89.87229520864251,98.85734807775302,NA,NA,NA,NA,NA,59.49020069424197,NA,NA,65.48716984520016,87.00863387030667,65.31957906045344,99.67158552130162,57.469450886312465,46.884526877444,91.54926354455701,98.39727367523507,NA,NA,98.53917939248295,NA,45.98266197188827,NA,92.95803969413502,97.15184336781337,NA,NA
1993,82.42527601523925,96.25682631746338,86.17266928392203,46.28394939054229,NA,88.44365908500271,57.73123025980904,NA,100,NA,94.61504890796,95.60100289730238,NA,69.5692541984638,NA,NA,NA,NA,93.56295103037421,100,NA,NA,70.0512201029452,49.40766629525075,40.311264740529374,NA,94.91733421634684,82.10710140936096,86.96291768311592,88.72167593767398,98.7774387265377,NA,71.11394277808091,92.7298541780851,79.46237788195486,NA,94.8157526618456,88.64583673893897,NA,99.73926951980435,NA,NA,NA,NA,NA,NA,84.8930109361295,NA,NA,83.37272239063327,NA,90.69347921624558,NA,27.476388297374076,72.12014592706885,NA,63.62380564582145,NA,91.78988840016478,94.67134700146667,93.45894624068748,93.01181817484695,94.77170085953287,100,NA,NA,NA,NA,NA,63.88327308852181,100,NA,92.53267242504329,88.79477344537466,60.41605115064181,93.23584965402414,68.02958558248432,45.18620253359631,93.05839676050422,92.3888334474296,NA,NA,100,NA,51.70086220762978,NA,98.57907915067018,100,NA,NA
1994,79.68717314833307,77.58113282653879,69.72159625095989,56.267511131775386,NA,96.27508646831009,40.80275242804506,NA,96.26565355972838,NA,77.73666512614565,86.68127611651482,95.741833295556,94.58449524079086,NA,NA,NA,98.8236280057313,84.7567361688745,100,NA,NA,56.107987456924945,43.52845273500958,53.12246819911489,NA,87.03565116292533,49.62571463868426,85.23518837555284,92.95000845896223,100,NA,56.06790268386514,98.2267291312385,87.63897673006156,NA,86.94046900516783,97.65090847822452,NA,100,NA,NA,NA,NA,NA,NA,60.351927662170624,NA,NA,91.34319234166789,NA,98.65336090232353,NA,31.026680533937935,64.59131281158727,NA,50.072099729592665,NA,94.22587621149192,100,89.64891375609697,91.81596645971858,96.82420422813898,88.27942570462568,NA,NA,NA,NA,NA,39.01601105948984,90.21882442837614,NA,92.39916395007654,99.03091822400295,57.86481519075769,100,60.740937281685916,52.77105138214249,96.2369157106814,64.53878783105247,NA,NA,96.2626788687242,NA,56.028151602111585,NA,94.6021889428254,97.50794837367182,NA,NA
1995,79.26103016797876,56.87160544686741,84.45763628890262,42.15159730545647,NA,93.17891561483393,32.68680041398613,NA,90.04538404425986,NA,88.60865946070024,68.02618015255212,100,100,NA,NA,NA,84.3490213925596,88.5182098209591,95.78525939527222,100,NA,63.900775683501934,57.37684316284254,37.52991021605892,NA,74.78666320782624,61.43712146087223,89.66781829370105,93.79975713900882,97.5881406453162,NA,57.74334297855492,100,83.55086886873639,NA,82.77964865949427,100,NA,99.51166193823296,100,NA,NA,NA,NA,NA,57.41407286357093,NA,NA,77.89190103162485,NA,77.9608049255192,NA,24.85782757448096,82.66621879844593,91.98542994578332,50.73026494545595,NA,100,85.33434318422877,85.25375582076681,79.7515185946038,100,93.27038071919918,NA,NA,100,NA,NA,53.42924723035767,94.77169811230632,NA,85.82901009165965,100,55.395093991273804,96.01539747665254,63.569070721473175,32.32485781049004,98.15670736871375,65.18651179562843,NA,NA,99.16086714949735,NA,54.9470110136682,NA,87.6249068188929,100,NA,NA
1996,84.09493696366934,71.73578982442015,67.72068085118303,58.4319275403367,NA,100,57.28887991948466,NA,94.37864451344885,NA,77.56636480135882,93.88632260908271,99.47026552762367,83.64592858889301,98.39486261180564,NA,NA,93.99981017785558,88.58121976803875,100,100,96.11820254084085,64.31157349195773,50.97969910515202,43.88426098119638,98.9695339732162,93.09345502672284,59.40754026869812,90.65811323962274,99.5149524146063,100,NA,70.25996106365679,90.02683298527006,80.835847442105,99.1524211723555,88.10964768885667,100,NA,99.88584951342489,96.79222285987015,NA,NA,NA,NA,NA,63.97135394781323,68.93282553700321,84.04709664368646,86.86651921968078,NA,88.20219264053894,NA,44.54340560582588,87.50454570084844,100,53.00006971779408,NA,100,88.8060880049502,94.52950747333321,82.99215646576059,93.26564542306556,95.86354682366897,NA,NA,97.6204919300733,NA,NA,59.396991061975456,98.63295836127111,NA,83.41909867017395,95.76592731258033,72.13443117255161,97.33992141769542,56.08176518643268,54.82462682915622,96.82101121397592,88.0651774807813,95.50694547276919,NA,98.41645656364602,NA,64.72539785506896,NA,83.6990014416333,100,NA,NA
1997,73.0521207348225,39.98756505036012,47.43203624059409,47.76551483836783,NA,96.8372166160698,48.91976393618202,NA,68.35754212749097,NA,45.0780016628531,59.31507197226481,99.13042517654927,97.85583622308906,76.84927743347164,97.22702068630066,NA,92.5298105852656,96.26067830674138,99.18450896157341,97.62945964436068,90.95535407230061,31.327770927445563,41.68283619234601,36.15884249196928,82.51681116002312,94.19529018980212,48.6668448478656,61.67496190531694,100,98.42431361282917,NA,53.46596114909533,78.95481601218836,57.566783784364574,97.44037179755378,83.94919298739681,98.38410122528516,NA,100,92.42291233739085,NA,NA,NA,NA,NA,73.87022191544045,71.45311773245378,97.65653588483535,41.36715707595744,NA,88.8760541903756,NA,32.37368152736062,48.984728692334436,100,51.22427113570156,100,84.27875734300082,NA,70.26938085053257,80.88922821581869,58.81062802187395,51.29773277650352,NA,83.93416831424348,52.04378302386053,NA,NA,47.32550574695442,100,NA,38.87242892786331,87.1827718426817,44.94896007600837,93.94148616546852,34.029728729393035,43.000864370445015,87.48211778447934,89.49144538569583,95.77958564403086,NA,90.93827139638115,NA,56.913467790425734,NA,59.70773795217366,79.40137656610537,NA,100
