"","Estimate","t value","Pr(>|t|)"
"Bangladesh",0.451527693475737,3.96635453435071,0.000704087419995334
"Botswana",-3.85115379619436,-0.920768804086426,0.425077989220938
"Brazil",-2.92943867476567,-8.35248434964492,1.0610713304495e-08
"Bulgaria",-3.62258566695817,-5.58083672269792,0.000233834474971438
"China",-1.10185285244908,-4.02233150969738,0.000883418263089132
"Colombia",-1.7958652305309,-4.31093162056524,0.00061806568543102
"Cote.d.Ivoire",0.635124953462875,0.521208682333664,0.610985637908368
"Ecuador",0.094451102643589,0.759465335238778,0.457977010449964
"Egypt",-1.21085525458411,-2.01467507640259,0.0610635620217244
"Ghana",0.478604238790705,1.97106781791627,0.0674556257283915
"India",-2.08942202555207,-5.51539669995751,1.13427681138797e-05
"Indonesia",-5.14270525360022,-5.15917372602851,0.000425738077552988
"Jamaica",0.172203682316035,0.443420319129148,0.665350676413985
"Jordan",0.354860979046842,1.76080198261543,0.0921678052062911
"Kazakhstan",-2.262764649035,-0.551470898622867,0.610667640515987
"Kenya",-0.191086250610719,-1.90099136945589,0.07111574373695
"Lebanon",34.7610203423111,34.7610203423111,34.7610203423111
"Macedonia",-3.21601666505796,-1.93555527476172,0.101062781573747
"Malaysia",0.333919896140147,0.497277684772452,0.623338659540622
"Mauritius",0.411814119666624,0.934879589667048,0.365696405177564
"Mexico",-2.86908476935548,-8.50899383801578,1.46487696829578e-08
"Montenegro",-0.0402580294888452,-0.288520348480715,0.780282920117076
"Morocco",-0.397233982171614,-0.93278545890367,0.360620245207887
"Namibia",2.48318695599454,3.18063020916432,0.0500697780035462
"Nigeria",-0.0595563589874442,-0.475867998736354,0.640600897325646
"Oman",-0.638990444658232,-1.97587666558748,0.0682173965745401
"Pakistan",0.0765973464800817,0.850045546413268,0.404456193033426
"Panama",1.27413799341662,1.92832512187576,0.0729620203592302
"Peru",-1.82048270815878,-4.8519663853648,9.666882218462e-05
"Philippines",-1.49930102819324,-4.48500441707687,0.000168039712776075
"Romania",-4.44554897177646,-5.35709137707717,0.000101148982428619
"Russia",-3.66054949427813,-5.60334871509602,3.96131890640609e-05
"Serbia",-4.15895742357144,-1.50350004922865,0.2071416321533
"South.Africa",-2.0786387599271,-5.22339443681406,2.09307508989943e-05
"South.Korea",-2.85284141826391,-9.71772781698835,5.69641258987566e-10
"Sri.Lanka",0.118541665626312,0.846742223190412,0.406685187249328
"Taiwan",-2.37393359851196,-7.17225154855766,1.62097613259509e-07
"Thailand",-0.844604210271705,-2.74329261615256,0.0113216674340278
"Trinidad",0.131248485845164,1.16637702342196,0.261672302989939
"Tunisia",-0.650195466996008,-1.29497777204063,0.217854798611036
"Turkey",-2.56845978290756,-5.58920290870038,1.09498759797708e-05
"Ukraine",-2.96305547006505,-1.91948380549011,0.0771404363808733
"Venezuela",0.118345070820292,0.77866889405085,0.444860895748622
"Vietnam",-0.763377885906263,-1.83281989708146,0.0940105177839581
"Zambia",-0.319919232444527,-1.71612312882457,0.108173992812009
