"","Estimate","t value","Pr(>|t|)"
"Argentina",-1.92012666685446,-2.96149154199564,0.00744829577785945
"Australia",-2.1454641084409,-5.98392577573205,3.0046217786339e-06
"Austria",-1.81058817006306,-5.04073691974733,3.35437241307327e-05
"Bahrain",-0.761256342783469,-1.60224017227851,0.137406464707295
"Bangladesh",0.449761715567097,3.98004062196011,0.000681444356472976
"Belgium",-1.87366888626213,-6.25304670636314,1.52991342691597e-06
"Botswana",-3.73524871572995,-0.799560998568087,0.482418201430875
"Brazil",-2.94038175838289,-9.9141435439994,3.81480676436514e-10
"Bulgaria",-3.72128466913959,-4.91988901699523,0.000604958395007477
"Canada",-2.02220481478759,-4.88862901533822,4.97268821248026e-05
"Chile",-2.25867482786239,-8.59986954630565,8.57304126704706e-09
"China",-1.08885204910575,-4.89689073024795,0.000136037514977489
"Colombia",-1.79086950689918,-3.76322927312777,0.00187938285927237
"Cote d'Ivoire",0.492903390136431,0.434330649930234,0.67117022582202
"Croatia",-3.67335747318838,-4.85109889693693,0.000256732621005285
"Cyprus",-1.62178154537649,-0.673484632829081,0.522246798729122
"Czech Rep.",-3.0156549140625,-5.4919595377985,3.96814642020847e-05
"Denmark",-3.03041996513501,-7.72622517783526,4.40690693355722e-08
"Ecuador",0.0979984103177227,0.455198262106281,0.654726401269588
"Egypt",-1.2180033600636,-2.7527287188527,0.014154437329775
"Estonia",-2.93073113604582,-6.17762593587954,1.76880304590439e-05
"Finland",-2.49914089513178,-7.61851291891684,7.41147158301801e-08
"France",-2.38331638587606,-7.92645384983546,2.77950360918758e-08
"Germany",-1.87899625310446,-7.45226210178792,8.35053291511526e-08
"Ghana",0.467055799911022,2.23770861702597,0.0408402575370333
"Greece",-1.81743749662279,-4.3703180188217,0.000223695304507143
"Hong Kong",-1.39242177274279,-5.17762351221748,2.35531913969908e-05
"Hungary",-2.7693916902164,-6.85501746805914,1.16159573531384e-06
"Iceland",-1.41746324272229,-3.94635977202951,0.000946422626656827
"India",-2.07890665068616,-7.01191213281272,2.99614093780538e-07
"Indonesia",-5.14033376388445,-4.10347254985949,0.00213269746218699
"Ireland",-1.55580345731161,-4.17335356338528,0.00031707712376721
"Israel",-1.66008760883372,-6.06428460084272,2.90972260717723e-06
"Italy",-3.10162546059874,-7.41675532728534,9.07820753091763e-08
"Jamaica",0.185904267659424,0.373801882285474,0.715072422707972
"Japan",-0.519976134297264,-1.62989594555942,0.115660281166176
"Jordan",0.334039146428907,1.98084544879252,0.0602463576117893
"Kazakhstan",-2.25110719709266,-0.580547708710485,0.592681084965385
"Kenya",-0.198050702718623,-1.92269350157678,0.0681867162780515
"Kuwait",-0.0578209558139147,-0.499941058299136,0.623922139240645
"Latvia",-2.99604014485087,-5.63724372839865,0.000151662446984765
"Lebanon",35.4547790005848,NA,NA
"Lithuania",-3.74247196741485,-4.50803653001932,0.000889367796213824
"Luxembourg",-2.58506523648113,-2.49929868146129,0.027951337963052
"Macedonia",-3.39095851050786,-2.182320998246,0.0718311025195193
"Malaysia",0.313542924275139,0.61201382492881,0.546055018174435
"Malta",-0.886715052005273,-1.67554897371856,0.114540652642613
"Mauritius",0.434093781478569,0.845150054418733,0.412238315014376
"Mexico",-2.88463876319425,-8.11259036275405,3.37191955418626e-08
"Montenegro",-0.0441197287196645,-0.15527311499728,0.880452256574891
"Morocco",-0.534628223219635,-1.79135702881471,0.0864056601231024
"Namibia",2.40098112929327,1.57352730832475,0.213657456366072
"Netherlands",-1.45131523331183,-7.94666556322283,2.65393085051393e-08
"New Zealand",-1.69334850654213,-4.50651455066674,0.00015926131467645
"Nigeria",-0.0308335235783632,-0.258227972430752,0.799523195691946
"Norway",-1.88442525646604,-5.59970218208992,7.96748242915819e-06
"Oman",-0.690514053091871,-2.19961147644029,0.0451331514647919
"Pakistan",0.0831215838230654,0.763690672841871,0.453164479660012
"Panama",1.22704286362474,2.61016269304715,0.0196963204356884
"Peru",-1.8078533216742,-4.51000524693966,0.000213731290972048
"Philippines",-1.52709639076001,-4.34840442165121,0.000236262273600297
"Poland",-3.90416798167124,-8.32780526614196,6.23344736960333e-08
"Portugal",-2.55628896469871,-5.1577055929691,4.13404237137942e-05
"Qatar",-1.61156830598802,-1.42323607531892,0.204522006126941
"Romania",-4.45587923511331,-5.92115778395066,3.72888454674738e-05
"Russia",-3.65032654217457,-4.99783253516972,0.000131441079862945
"Saudi Arabia",-0.960593231899258,-1.78111926268429,0.0982574306835514
"Serbia",-4.61668409651027,-1.71120132890363,0.162212374134655
"Singapore",-0.312989004640456,-0.821920542899151,0.418892279218745
"Slovakia",-0.84602559896685,-3.25133082508088,0.00443239561159496
"Slovenia",8.0044587935328,3.29834975263299,0.0457900846286251
"South Africa",-2.07423564560675,-4.94485309095354,4.29889691226579e-05
"South Korea",-2.86053914082676,-10.0367945114941,2.97718148075827e-10
"Spain",-2.33711866268878,-7.49191945490836,7.607997890851e-08
"Sri Lanka",0.082911636189235,0.568269387045711,0.575878832627946
"Sweden",-2.2183558943396,-7.84164481395721,3.37652142617674e-08
"Switzerland",-0.911897125772161,-3.33969249425641,0.00263332716380101
"Taiwan",-2.39357954216366,-8.49373167224629,7.7517161790293e-09
"Thailand",-0.842643837799533,-2.66711237543193,0.0134838834678333
"Trinidad",0.136891099726799,1.39371576133585,0.183709974079714
"Tunisia",-0.781032154137696,-1.37731009019308,0.19166866287345
"Turkey",-2.55905068848016,-6.52708793878196,1.16520289739193e-06
"Ukraine",-2.73731484856311,-2.17236737935149,0.0728237781898177
"UAE",-2.15347601990451,-7.89863415020779,2.962380215023e-08
"UK",-3.02269764476477,-2.92775132594938,0.0117640712025878
"US",-2.50702042717092,-6.82014674224665,3.78514164592136e-07
"Venezuela",0.113769353414451,0.630750105911843,0.535008844342509
"Vietnam",-0.756199151052605,-2.018355758433,0.0686096689341779
"Zambia",-0.326180588480201,-1.72815243267968,0.105942491878338
