Country Name,Year,Government expenditure on education total (% of GDP),Literacy rate adult total (% of people ages 15 and above),Automated teller machines (ATMs) (per 100000 adults),Life expectancy at birth total (years),Fixed broadband subscriptions (per 100 people),Internet users (per 100 people),Mobile cellular subscriptions (per 100 people),Secure Internet servers (per 1 million people),School enrollment secondary (gross) gender parity index (GPI),hospital beds/1000 people,physicians/1000 people,Maternal mortality ratio (modeled estimate per 100000 live births),Research and development expenditure (% of GDP)
Afghanistan,1980,1.840929985,,,41.86753659,,,0,,,,,,
Afghanistan,1981,1.909170032,,,42.52692683,,,0,,0.259600013,0.275599986,0.077,,
Afghanistan,1982,1.729979992,,,43.23073171,,,0,,0.447409987,,,,
Afghanistan,1983,,,,43.97592683,,,0,,,,,,
Afghanistan,1984,,,,44.75902439,,,0,,0.461470008,,,,
Afghanistan,1985,,,,45.57702439,,,0,,0.456629992,,,,
Afghanistan,1986,,,,46.42695122,,,0,,0.500270009,,0.1831,,
Afghanistan,1987,,,,47.29634146,,,0,,,0.309100002,0.179000005,,
Afghanistan,1988,,,,48.16973171,,,0,,0.49386999,,,,
Afghanistan,1989,,,,49.03112195,,,0,,,,0.129199997,,
Afghanistan,1990,,,,49.86104878,,0,0,,,0.249799997,0.109200001,1340,
Afghanistan,1991,,,,50.64097561,,,0,,0.51327002,,,1330,
Afghanistan,1992,,,,51.36292683,,,0,,,,,1330,
Afghanistan,1993,,,,52.02187805,,,0,,0.380609989,,0.142800003,1320,
Afghanistan,1994,,,,52.61434146,,,0,,0.280609995,,,1300,
Afghanistan,1995,,,,53.13939024,,,0,,0.373919994,,,1270,
Afghanistan,1996,,,,53.60204878,,,0,,,,,1240,
Afghanistan,1997,,,,54.01782927,,,0,,,,0.11,1200,
Afghanistan,1998,,,,54.40273171,,,0,,,,,1160,
Afghanistan,1999,,,,54.76726829,,,0,,,,,1130,
Afghanistan,2000,,,,55.12587805,,,0,,,,,1100,
Afghanistan,2001,,,,55.48753659,,0.004722568,0,,0,0.400000006,0.186,1050,
Afghanistan,2002,,,,55.85719512,,0.004561395,0.112598381,,,,,996,
Afghanistan,2003,,,,56.23529268,,0.087891253,0.865196277,0.044429895,0.349269986,0.4,,941,
Afghanistan,2004,,,0.016329483,56.62631707,0.000832685,0.10580903,2.498055472,0.042553463,0.208930001,,,881,
Afghanistan,2005,,,0.062561569,57.0272439,0.000884925,1.224148084,4.826865367,0.040983694,0.325819999,,0.2,821,
Afghanistan,2006,,,0.121470209,57.43256098,0.001950741,2.107123645,9.833164022,0.079416716,0.363350004,,0.136,776,
Afghanistan,2007,,,0.214632107,57.83382927,0.001897588,1.9,17.71624331,0.231861262,0.375340015,0.42,0.146,724,
Afghanistan,2008,,,0.310664236,58.22502439,0.001849646,1.84,29.22037376,0.226169798,0.426420003,0.42,0.145,676,
Afghanistan,2009,,,0.464420074,58.60368293,0.003609042,3.55,37.89493697,0.330793683,0.482930005,0.4,0.175,631,
Afghanistan,2010,4.511159897,,0.545882219,58.97082927,0.005282097,4,35.97403913,0.715251124,0.499949992,0.4,0.194,584,
Afghanistan,2011,4.087910175,31.74111748,0.636485905,59.32795122,,5,47.40646435,0.763645821,0.557550013,,0.234,536,
Afghanistan,2012,3.125619888,,0.659592153,59.67960976,0.005029416,5.454545455,51.43454705,1.110109284,0.561420023,0.5,0.225,496,
Afghanistan,2013,4.544360161,,0.732067892,60.02826829,0.004909715,5.9,55.01222617,0.97775605,0.556490004,,0.266,459,
Afghanistan,2014,4.804349899,,0.779998588,60.37446341,0.004795317,7,58.84547053,1.011777533,0.560800016,,,425,
Afghanistan,2015,,38.16804123,0.955979349,,0.004686506,8.26,61.5776191,1.414228777,,,,396,
Afghanistan,2016,,,,,,,,,,,,,
Albania,1980,,,,70.23597561,,,0,,0.899179995,4.271699905,1.366799951,,
Albania,1981,,,,70.45446341,,,0,,0.895600021,4.187099934,,,
Albania,1982,,,,70.68512195,,,0,,0.907989979,4.160699844,,,
Albania,1983,,,,70.93739024,,,0,,0.938769996,4.086200237,1.414800048,,
Albania,1984,,,,71.20653659,,,0,,0.93520999,4.138999939,1.406599998,,
Albania,1985,,,,71.47121951,,,0,,0.912469983,4.138800144,1.406299949,,
Albania,1986,,,,71.69756098,,,0,,0.90941,4.069699764,,,
Albania,1987,,,,71.86195122,,,0,,0.923080027,3.970000029,,,
Albania,1988,,,,71.95329268,,,0,,0.927150011,3.935499907,,,
Albania,1989,,,,71.97858537,,,0,,0.927070022,4.132100105,1.403300047,,
Albania,1990,,,,71.95731707,,0,0,,0.914780021,4.02489996,1.37409997,71,
Albania,1991,,,,71.91841463,,,0,,0.917980015,3.998699904,1.470299959,69,
Albania,1992,,,,71.90080488,,,0,,1.008370042,4.013400078,1.650099993,65,
Albania,1993,,,,71.93585366,,,0,,1.04708004,3.831399918,1.425400019,63,
Albania,1994,3.265189886,,,72.04195122,,,0,,1.013880014,3.017100096,1.315399051,49,
Albania,1995,3.764709949,,,72.23602439,,0.011168695,0,,0.983910024,3.190000057,1.306,53,
Albania,1996,3.274280071,,,72.52741463,,0.032196828,0.068840778,,0.98585999,3.140000105,1.354,50,
Albania,1997,3.475320101,,,72.89809756,,0.048593919,0.099059921,,0.961790025,3.049999952,1.295,51,
Albania,1998,3.326420069,,,73.32658537,,0.06502737,0.168397958,,,3.049999952,1.289,46,
Albania,1999,3.379719973,,,73.79339024,,0.081437045,0.331772024,,0.948880017,3.029999971,1.282,42,
Albania,2000,3.286920071,,,74.27153659,,0.114097347,0.901406013,,0.953010023,3.259999991,1.389,43,
Albania,2001,3.340600014,98.71298218,,74.73256098,,0.325798377,11.94887288,0.326778911,0.960919976,,,40,
Albania,2002,3.056629896,,,75.15460976,,0.390081273,26.07553141,,,,1.305,37,
Albania,2003,3.06427002,,,75.52329268,,0.971900415,33.95706284,0.328988925,,3.099999905,,35,
