Year,Div_world_mean,Argentina,Australia,Austria,Bahrain,Belgium,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Cambodia,Canada,Chad,Chile,China,Côte d'Ivoire,Croatia,Cyprus,Denmark,Ecuador,Egypt,Estonia,Finland,France,Georgia,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestinian Territories,Panama,Peru,Philippines,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,UAE,Uganda,UK,Ukraine,US,Venezuela,Vietnam,Zambia
1986,80.8773083053052,NA,100,74.16773733937447,NA,68.26940741514554,NA,NA,100,NA,NA,91.68149777747855,NA,NA,NA,NA,NA,NA,67.32702785520803,NA,NA,NA,NA,74.25014181010611,NA,78.81966481160862,NA,NA,91.14972471826923,NA,NA,NA,NA,NA,78.71707078260548,NA,92.57771245869712,NA,80.19121808309858,NA,NA,NA,NA,NA,NA,60.686302735726485,NA,NA,NA,NA,NA,NA,46.64351538513492,NA,NA,88.14642742274854,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,54.707871131272015,NA,NA,94.95332990916903,94.410042342149,84.10863400896275,90.6931090423119,89.2885504697044,46.2397473499248,82.7942323012989,NA,NA,NA,NA,NA,NA,73.59646534136515,NA,99.3905854465756,NA,NA,NA
1987,59.32093250143423,NA,36.34397705249941,73.35254029739485,NA,56.432707321293506,NA,NA,96.87359430287633,NA,NA,40.13160109831142,NA,79.85490641195773,NA,NA,NA,NA,55.32331267209691,NA,NA,NA,55.082105422425634,42.92579312683048,NA,42.50717119268932,NA,NA,64.92259023319178,NA,NA,97.76298762712166,NA,NA,50.41141627916681,95.58192986694293,57.75923180041163,NA,57.393218402399306,NA,NA,NA,NA,NA,NA,30.666973887958115,NA,NA,NA,NA,NA,NA,24.449635029981355,NA,NA,39.606567953707426,NA,NA,NA,NA,NA,90.87379441422212,NA,NA,NA,NA,NA,NA,20.856263876945334,NA,NA,57.74154279827543,94.83304232428162,68.91811849128773,93.20852288757368,42.44686301045013,18.32710159950539,92.88118303391158,73.1113043217538,NA,NA,NA,NA,NA,36.04498582975948,NA,52.32392497723816,NA,NA,NA
1988,73.3973288645646,NA,69.88663911363116,62.133570859386424,NA,62.002044544993005,NA,NA,100,NA,NA,60.10274108909819,NA,91.23000855515468,NA,NA,NA,NA,67.18079549351013,NA,NA,NA,69.54357824000638,74.26754324183182,NA,58.93044998971341,NA,88.26249801156678,53.51540823066957,NA,NA,94.31508037568273,NA,NA,74.54849900456311,93.22177728447272,69.90423259770205,NA,69.4126036244186,NA,NA,NA,NA,NA,NA,31.47660132104394,NA,NA,99.93604770928638,NA,87.96379733202915,NA,48.875388743021276,82.55476946017637,NA,77.70809818147052,NA,NA,NA,NA,NA,90.57575445935947,NA,NA,NA,NA,NA,NA,25.496550140604914,NA,NA,86.0755309156221,88.31330868313992,48.35714211879335,91.50152256132198,57.29279995183526,49.89641720059008,93.38915117003708,78.1542971110604,NA,NA,97.11522119464642,NA,NA,65.70004339091669,NA,83.46392722296953,NA,NA,NA
1989,66.88942258773089,NA,69.7532338414932,65.5800999974304,NA,55.48025897860085,NA,NA,100,NA,NA,54.56536703109229,NA,87.14695586433345,NA,NA,NA,NA,56.703223569951646,NA,NA,NA,60.969837530118596,34.64512305583337,NA,34.07213551689885,NA,79.20680052607172,76.33178881242415,NA,NA,88.93256903657439,NA,NA,39.82440540826111,90.47923492598477,49.093379048963385,NA,58.4291870875443,92.30964935177911,NA,NA,NA,NA,NA,34.16201303572546,NA,NA,88.53131599469475,NA,72.99417898545005,NA,33.29249049593067,66.09249506356822,NA,59.817079956858386,NA,91.45767539325193,NA,NA,NA,87.93928393296213,NA,NA,NA,NA,NA,NA,36.24640932366812,NA,NA,66.33696630520618,86.66043601215218,42.48142016266723,88.92693958609814,50.08536233877523,29.46643710620385,89.62282249615379,93.2249505219593,NA,NA,97.04512002190906,NA,NA,53.399024168425576,NA,80.49238784875787,NA,NA,NA
1990,71.69823446058389,98.97734406218567,80.12051140292789,58.70937401820677,NA,37.002602166058196,NA,NA,96.3239525737082,NA,NA,80.04195219784411,NA,90.9199022951635,NA,NA,NA,NA,55.958021578273346,NA,NA,NA,85.17308649156936,32.37150986121833,NA,37.434439239080405,NA,90.54926204555885,49.70380813969746,NA,NA,99.49378108209085,100,NA,65.60149463190193,87.14857614299775,48.73961582177749,NA,64.15101332376382,82.2422760936863,100,NA,NA,NA,NA,45.73469741536702,NA,NA,74.54169180378982,NA,91.48735331644691,NA,33.38036550789945,65.16660006640552,NA,66.57470408731912,NA,100,NA,NA,NA,89.80374746728128,NA,NA,NA,NA,NA,NA,36.605720212753404,NA,NA,91.14194071066252,92.87385282355427,41.461186891185385,100,46.98377460427579,32.02825469838376,87.3511573720854,66.2076360027739,NA,NA,91.72502314326651,NA,NA,62.841575897184484,NA,83.05580769559448,NA,NA,NA
1991,62.895087226834754,97.58760464411974,69.29332125483637,27.892435863896825,NA,18.00920553980452,NA,NA,95.04206243363141,NA,NA,75.25751542188785,NA,92.54131258367389,91.69957111790656,NA,NA,NA,22.88618212842004,NA,NA,NA,55.07409610642847,16.700696516802893,NA,16.90154948677607,NA,58.59039623373118,58.01813915687691,86.7355562497183,NA,97.54227263231203,84.56924514834463,NA,27.34727945016364,80.58432752060315,29.147716457293306,NA,55.98680376263919,82.60960316067718,95.29940480276127,NA,NA,NA,NA,46.25662432218633,NA,NA,68.17045406844227,NA,99.6762037028848,NA,14.559323268138957,69.47042540207308,NA,48.36406533506086,NA,100,NA,NA,93.88384318986887,83.87310359640435,NA,NA,NA,NA,NA,NA,31.200551601215597,NA,NA,64.59687853737243,76.93817370760905,23.635416227599173,94.16417548152,35.53691095761855,16.13147090018634,91.063856909082,76.23805568569635,NA,NA,84.6261394280187,NA,NA,27.31410406149848,NA,86.36776392494751,NA,NA,NA
1992,75.89044393993987,95.45612376264548,67.08944379330359,46.6928780308121,NA,44.71012081418747,NA,NA,99.28426173269972,NA,NA,92.04158598663174,NA,98.86055380783577,89.09741183992634,NA,NA,NA,56.87019503820759,NA,NA,NA,78.02226043924267,39.773360273378565,NA,30.839647847713426,NA,79.95910161742282,79.21815583863884,84.75744034053754,NA,98.593025360102,80.25052685184443,NA,63.77330876928308,98.39853779905502,73.96855982895704,NA,81.90451523793051,81.00497084061693,100,NA,NA,67.95084619155021,NA,68.20403960367692,NA,NA,85.34851015124296,NA,93.81764973414293,NA,29.65316152176143,66.12881308303345,NA,68.5837830430411,NA,99.83224455595311,NA,45.842830780409884,94.08887689520117,97.16852643266598,NA,NA,NA,NA,NA,NA,58.36387392636353,NA,NA,64.91832438183782,89.51602510420393,64.24708115322598,100,59.14842524977345,47.210200036566754,93.86056609982009,98.38066253937225,NA,NA,99.0155824773849,NA,NA,46.5997166209607,NA,92.51469580407277,NA,NA,NA
1993,81.0958304850717,97.31348722216804,81.35824941033663,46.33410249224534,NA,58.98080464063092,NA,NA,100,NA,NA,94.02985307642726,NA,95.24555414106915,95.9246482948804,NA,NA,NA,66.59594860663852,100,NA,NA,70.11468529129354,49.38188079706705,NA,40.06945151812968,NA,95.50934578484724,83.26591979035692,87.29089634614753,81.25720791639715,98.4911853095181,85.83849612129212,NA,72.15466290074595,95.49887971777595,79.81915793841019,NA,93.68748033086035,84.50261454339618,99.7569567136893,NA,NA,83.73302119785873,NA,87.40464140071101,NA,NA,85.24816146739231,NA,87.23346320396203,NA,26.776739058119414,71.24673737033685,NA,63.43703313315289,NA,92.754799899335,NA,93.31492889745189,94.0447523064671,94.10216503069464,NA,NA,NA,NA,NA,NA,63.750244311716195,100,NA,91.67387145379332,88.03268874247343,60.434110847841524,92.54906625929661,71.36920371294127,45.257355819023545,91.32259102845465,89.35748377426228,NA,NA,100,NA,NA,50.22204578624614,NA,98.00912016265922,NA,NA,NA
1994,78.37674464560602,77.47465393036298,71.74526371249847,53.77617993643579,NA,39.430547819751105,NA,NA,95.89773541124515,NA,NA,76.02383987576503,NA,86.9226700867393,100,NA,NA,NA,55.64173201166881,100,NA,NA,54.68043710180868,46.30356911375988,NA,51.82740816340715,NA,83.29258416143385,50.72814844131334,88.32173408674696,95.08037482145464,100,92.06329695918943,NA,55.896551206049125,96.82604050294309,87.68717855142653,NA,93.35225032852715,97.37597813823895,100,NA,NA,81.74780752647666,NA,59.6672793502282,NA,NA,90.76910101567897,NA,97.51747543504851,NA,31.794263857285053,66.54450052867776,NA,49.14560211372194,NA,96.35611270773414,NA,100,88.13753831573393,90.86185435884691,NA,NA,NA,NA,NA,NA,35.98663487349534,93.36897247581479,95.50746404595529,91.72855199844638,99.0322448819694,57.7118381416806,100,59.792018315681474,53.29270827092189,97.34475911330446,65.03625179431106,NA,NA,95.45050824626449,NA,NA,58.28135482105622,NA,91.7909603768084,100,NA,NA
1995,76.95647014884626,57.4614626495867,86.23164103634285,41.0658167565711,NA,33.88422043197241,NA,NA,90.71866735640172,NA,NA,88.68792744713406,NA,67.96442822162639,100,NA,NA,NA,51.73484977209753,96.31240227139064,99.70544355527434,NA,62.28958735463803,55.94298781324063,NA,37.45991415717243,NA,74.771488101393075,62.65145022610543,88.0101801960202,90.85837364416507,97.93097532753511,74.2113452641447,NA,57.74391068822035,99.26925818041539,81.79931779679804,NA,82.21947782914506,100,99.30065666706518,100,NA,47.346288775254585,NA,56.68943307849226,NA,NA,77.45781844015023,NA,79.16050389380301,NA,26.938829847451483,83.33808586489006,98.55688132251824,48.89834378208862,NA,100,NA,89.6516158747414,84.43594570880914,81.50333360743416,NA,NA,NA,100,NA,NA,54.172268309578584,94.83257875656868,94.8943628655563,87.54939193246042,99.92234971430531,53.279657474462496,96.32108700982715,64.93745048463488,31.094506719986338,96.33532037306588,65.00467814038947,NA,NA,100,NA,NA,55.874506032420335,NA,86.18483743319878,100,NA,NA
