Year,Australia,Belguim,China,Czech Rep.,Denmark,Finland,Greece,Hungary,India,Italy,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,South Africa,South Korea,Spain,Sweden,Austria,Canada,France,Germany,Ireland,Japan,Switzerland,UK,US
1988,98.50903661017861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.49727133723417,NA,NA,NA,NA,NA,NA,NA,NA,98.69743681753378,100,97.5510498981203,91.18731337067602,99.17813994627903,94.9037123818443,93.82990182046798,100,98.88837377047774
1989,100,94.44610958512413,NA,NA,95.99050740694011,NA,NA,NA,NA,NA,NA,95.223910474014545,NA,NA,NA,NA,NA,NA,NA,99.83120748598355,98.99326089805449,100,94.9522522810337,97.81326248701755,95.62252492730978,93.17407525969188,89.37677287667482,97.80309798919559,100
1990,100,97.35260661804483,NA,NA,98.11019770651545,NA,NA,NA,NA,NA,NA,97.0559388780728,NA,NA,NA,NA,NA,NA,NA,98.54284921132816,100,100,98.08528325321483,92.87780643719424,95.30316273899709,100,95.54702795153807,99.149744509557,99.74844702707286
1991,100,83.93828131315495,NA,NA,90.04200186125233,94.28514013721318,NA,NA,NA,83.43023147680697,NA,84.27013190214868,100,NA,NA,NA,NA,NA,84.81273286400015,95.1082420165726,90.24172622072535,100,98.42612364458523,94.65857670291801,94.63258139926698,100,93.24810000645564,100,97.97316357554186
1992,96.57582445695338,99.42490600782956,NA,NA,99.31592887627659,97.63032273774816,NA,NA,NA,96.49895589636144,NA,98.75079069374108,100,NA,NA,NA,NA,NA,97.09413653060804,99.97166564938703,94.97433277864164,100,98.35521824482004,85.11145532330544,90.1119676638405,98.42873206993184,94.4111807573388,97.98269949294684,100
1993,94.30539355751381,96.72589778927654,NA,NA,94.96137898186,92.15563867710812,NA,NA,NA,91.63738745564662,NA,72.75245936356967,98.67479877956612,71.99084814356023,NA,82.13189697216119,NA,NA,75.7987530960819,97.04549877713532,99.35585505359302,100,92.79460909131902,96.0675303092572,96.73726272216263,100,90.71092630457301,96.42257386575345,96.96161926274398
1994,98.4227694456054,96.70893771307011,NA,NA,97.80210372029204,99.24939687662292,NA,NA,NA,100,NA,96.02249326954521,100,98.37623373939905,NA,97.68943886158587,NA,NA,98.60274025158785,99.85199354335097,100,99.65314260636465,95.270215584491865,100,94.45184145885244,96.78453419813427,99.72954244718879,90.04388165350011,96.88589791989837
1995,95.8196237427077,85.1432960835806,NA,NA,85.6336688442423,94.49672934311249,NA,NA,NA,98.57714641413389,NA,89.67674242230787,97.23326809378841,88.69689250066907,NA,89.3482026082795,NA,NA,91.13342402960829,100,94.3137431557754,98.99834188466492,98.1021398871057,100,99.54047010123024,100,98.68461628744697,97.34473581274378,100
1996,99.00079168529012,95.26814422166397,NA,NA,94.20576406642061,96.52326817776175,NA,NA,NA,93.4645444134069,NA,96.90626176618926,99.63934583110206,95.04369086051713,NA,95.91687330429835,NA,NA,95.644456965579,95.86847583883585,94.56929347367907,97.32538824712094,95.50451907526359,98.61199732273698,90.46824302283406,98.35484473484927,96.3890849389896,97.88379928777874,98.66404657618364
1997,97.8123893383611,94.11328256581758,NA,NA,95.54454863351917,96.72920498400845,NA,NA,NA,99.35719068313902,NA,94.63610794743568,99.30998957570465,95.24735400818246,NA,96.54315718773401,NA,NA,96.49171591228303,99.30868778442016,89.656755704785,100,100,100,100,100,100,100,97.8402274746234
1998,100,87.7519712702778,NA,NA,85.16085634846993,86.2275505362725,NA,NA,NA,84.80361828204556,NA,89.90884386582694,100,88.90848016304233,NA,87.67060655449589,NA,NA,88.9048910866836,94.05752979139376,83.0483092865874,94.64019922373457,93.7736183166809,94.72807317370446,93.79041292891246,98.88824267539408,93.98799796390858,92.57882285370836,100
1999,100,97.1088789756641,NA,NA,98.37387375782728,97.32364162739471,95.65183104829039,100,NA,98.97584152288672,NA,96.51294291585558,100,97.96006469859483,NA,98.16828531827383,NA,NA,98.42028999592019,98.44582034524151,94.95593007676403,100,100,97.07834911366913,100,100,98.03835296753654,100,97.25634104465446
2000,100,97.63202766218392,NA,98.976432978821,96.59504852402718,97.6552112440843,96.1870988808737,96.19037199832387,NA,96.33928793409319,NA,97.70448007545825,100,90.70704266690761,NA,96.34942315653154,98.17408683762442,NA,97.20203916650014,93.7289129057456,97.3352738589691,98.18247509194384,100,97.54998380297856,92.29461793693552,99.93274244066544,99.43142746274654,96.83007664360903,100
2001,97.21441515397466,99.51648799782092,NA,99.53632928877761,99.95208444048458,99.56495511195399,99.86564044764604,99.55046617405118,NA,99.58700800388117,NA,99.57022476952422,97.48293395510487,98.80786213812178,100,99.57824212543274,99.75160745913665,NA,99.57919209810203,99.72486405511985,100,99.78665138198043,100,100,99.15115624046085,100,100,100,100
2002,99.60247529464631,96.61668817503767,NA,92.45574116056027,97.14586232526418,96.76322125464971,96.56579573881176,98.805412366954,NA,96.47114450752777,NA,96.52003280860625,98.20988555280937,97.13290427907678,100,96.58539668305951,99.70755192819631,NA,96.64229011550756,99.98347505540247,87.82127159777909,97.0094952399644,96.31517402647694,93.38778766459275,93.90699071370257,98.87649852540198,100,93.11906675221161,95.28990344354357
2003,100,98.93776412163707,NA,99.7471670659009,99.981918650893,98.95948571330749,99.01046524993322,100,NA,98.96544896450348,NA,98.94995910255645,100,99.139885263003,100,98.90911087328597,99.90779910078051,NA,98.96051677480851,99.99786641908767,88.37453126285504,95.40444386981109,100,98.92419791596214,100,98.64041151251193,99.58245123820275,95.1645329717783,99.85873996586004
2004,96.42519173436864,97.51517524859268,NA,98.90219157757853,98.41514239641161,97.48104472565433,97.48985139526634,97.68884859667855,NA,97.54979200656688,NA,97.47149226332135,97.3722065778895,96.2404841831573,99.06971964557296,97.47947614362074,91.76936567118739,NA,97.4564637960041,98.1238167623042,94.19783112352465,96.37304855911144,92.11492826338444,94.23470126563834,86.00185397691955,94.53347657755762,96.82485771006245,93.51652530506827,94.2459251359624
2005,97.34435955478953,93.4821413496692,NA,98.0071444778725,94.49120227764173,93.46306609161309,93.59163720301045,95.99884499336522,NA,93.51582886317982,NA,93.4932513366584,96.95815950017077,94.88707592439809,96.17925869185476,93.42657993153789,100,NA,94.7702269416596,95.09044501614497,94.7177911715689,96.2599514777446,100,100,99.20853498406395,100,94.19992312587027,97.2086313787014,100
2006,97.66985281626813,92.55545476081848,NA,96.62570553051026,94.38333032384537,92.5256099025086,91.96231490185389,96.71425520579048,NA,91.95560220716725,NA,92.67184825632043,99.15029427262245,97.94895137281283,95.95944052672137,92.34522370375001,98.53151427331231,NA,92.25827019803997,93.24080522133133,98.75144582979117,93.88164455106741,95.73670939672753,94.42559602883652,96.8104659721563,92.74983719459658,95.15410684064248,98.37369785369067,100
2007,100,93.16778838038505,100,97.08418609124114,91.31225290793853,93.260615422160555,93.20999559244385,100,100,93.41001024115828,NA,93.46511750830771,100,92.56945815110966,100,93.56600901538533,100,NA,93.46668856916213,94.51796950522481,95.5774188290789,100,100,97.55105109237763,98.61465169913998,97.31615759864816,91.94221345128427,94.29650077994937,99.71540353137989
2008,96.86459727054113,86.28741294789559,95.89538736889952,95.85889218211297,91.8246759903252,86.87042490066986,87.59309161912017,93.653340747802,100,87.50126041825594,NA,85.82205832387952,97.53599532585888,91.90123572643547,98.14334846185662,86.33419851464018,99.6053296257958,NA,86.40024588499408,88.79756533993232,93.96826451984045,93.87966470504179,99.15626460651154,93.44863816052654,96.27193430298006,98.60933603260675,97.28913095748112,85.358548161694,99.85838436932491
