Year,Argentina,Bahrain,Bangladesh,Botswana,Bulgaria,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Ecuador,Egypt,Estonia,Finland,Ghana,Greece,Hungary,Iceland,India,Indonesia,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,New Zealand,Nigeria,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,Sri Lanka,Thailand,Trinidad,Tunisia,Turkey,UAE,Ukraine,Venezuela,Vietnam,Zambia
1987,NA,NA,NA,NA,NA,78.91672215081984,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.082013241594794,NA,NA,NA,NA,100,NA,95.8979307160973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.73621214678522,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,90.16311206833589,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.91655913413052,NA,90.68915781197897,NA,NA,94.10349676697656,NA,93.28424156731423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,75.4115891502994,NA,82.28562193134495,NA,NA,NA,NA,NA,91.09835081393737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.05197171145554,NA,NA,96.49830417505957,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,87.76484938198182,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.575206148215564,NA,79.98811970558889,NA,NA,87.53326574028677,NA,92.18108682284026,NA,95.11492027844749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.78961737946457,NA,67.33216372184455,NA,65.66191853121767,NA,NA,92.73508705192722,NA,NA,87.54423454403829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.41241164830278,NA,NA,96.90220143306358,NA,NA,NA,NA,NA
1990,99.03332540457683,NA,87.31908609625958,NA,NA,91.7193200505187,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.77608065692966,NA,91.00464230498339,NA,NA,99.33244062424927,NA,87.70001699957413,NA,85.64952669163485,NA,98.6607797602894,NA,NA,NA,NA,NA,NA,NA,NA,73.54616374537014,NA,95.45569070059126,NA,66.92654624054424,NA,NA,100,NA,NA,90.90604016086785,NA,89.50108657075229,NA,NA,NA,NA,NA,NA,NA,92.898306257421,67.35671172682423,NA,NA,90.48287444893334,NA,NA,100,NA,NA
1991,98.93693563727417,NA,95.31506512781435,NA,NA,92.23195072126433,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.926460074999675,NA,60.28708182072723,83.14602271481554,NA,98.29622917959561,NA,80.43903870369928,NA,84.49392720160441,NA,94.93607021644127,NA,NA,NA,NA,NA,NA,NA,NA,71.35274217179678,NA,94.76501818792075,NA,73.1669403796408,NA,NA,100,NA,94.31506778324862,88.14264204506046,98.80967896690743,81.66798666393777,NA,NA,NA,NA,NA,NA,NA,96.59127843150712,76.2678189791157,NA,NA,82.25611050737466,NA,NA,100,NA,NA
1992,93.63755467389413,NA,84.65418867909177,NA,NA,100,NA,89.431178690442,NA,NA,NA,NA,NA,NA,NA,79.55347349022371,NA,77.93095206966912,84.0821474385475,NA,95.88995132861798,NA,98.59457685598095,NA,82.08374867363491,NA,97.37287564080435,NA,NA,NA,NA,NA,NA,NA,NA,87.41839631594016,NA,94.13149195454339,NA,65.25706266420137,NA,NA,97.166069528296,39.32842743199183,94.06982614468804,94.46045326501759,88.97378302161326,99.28849324941345,NA,NA,NA,NA,NA,NA,NA,99.72360747228409,98.36622800401548,NA,NA,98.42801246174243,NA,NA,97.51367370766565,NA,NA
1993,96.27177294554514,NA,88.83399021389303,NA,NA,95.75696863781594,NA,68.94518062026624,NA,NA,NA,NA,100,NA,NA,70.4217519881706,NA,95.12468709680316,86.84718014284722,87.54829587161127,99.01048634921632,NA,92.72553300933693,NA,88.67645624827685,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,83.0078568864118,NA,84.55227088989162,NA,72.42938853389273,NA,NA,89.96463188629413,95.19094556847357,93.44358123473472,93.2105014094239,94.77016108388285,100,NA,NA,NA,NA,NA,94.02836879815139,NA,92.1784990271341,92.8531726485992,NA,NA,100,NA,NA,100,NA,NA
1994,77.12403793457622,NA,95.49076928248815,NA,NA,86.92150038949666,96.73595072782376,95.04104546954548,NA,NA,NA,98.29626851069203,100,NA,NA,56.18647389868665,NA,86.7999976694232,85.4015406230922,92.40369467817095,100,NA,97.88447091469195,NA,97.82360959102864,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,91.70708627902744,NA,98.82383932935662,NA,64.85399053983294,NA,NA,93.42733461305423,100,89.60618817635306,90.67983383412906,97.15117151824461,88.59546270572626,NA,NA,NA,NA,NA,90.32819982687718,NA,99.49370384063059,64.90593728119589,NA,NA,96.61693873828615,NA,NA,97.90666309615894,NA,NA
1995,57.172858253730865,NA,92.43500529346102,NA,NA,68.28595747409082,100,100,NA,NA,NA,84.61669264764218,95.91655443758368,99.76383522269579,NA,63.36059301640636,NA,74.87286295281731,90.28141613205815,93.86815808244046,98.0800122200889,NA,100,NA,100,NA,99.91397574764204,100,NA,NA,NA,NA,NA,NA,NA,77.52098584124113,NA,78.09856511377514,NA,82.94764051962703,92.06921992783732,NA,100,85.58870709142836,83.96331331731508,79.54344344940127,98.93804855061612,93.44428189378289,NA,NA,100,NA,NA,94.97471067032154,NA,96.34550856072967,65.35850895271741,NA,NA,98.62966459676882,NA,NA,100,NA,NA
1996,72.01693075718842,NA,100,NA,NA,94.27384311728287,99.1774771070689,85.02194996614237,98.57323196797311,NA,NA,94.39092658455458,100,100,96.48524743702663,64.38938807868817,99.39997101239467,93.41517845536245,90.1951782079805,99.97388950016224,100,NA,90.4064337383174,99.52769780700041,99.55393460564686,NA,100,96.89080716044563,NA,NA,NA,NA,NA,69.08812976365215,84.29837276980558,87.21076161123251,NA,88.33898479231152,NA,87.70209753208266,100,NA,100,85.8843605915019,94.43300433366362,83.23857772982181,92.48824022927245,95.657752909205,NA,NA,98.16449477800593,NA,NA,97.9766914657322,NA,97.63768793862963,88.19762547011662,95.05027932470028,NA,98.48295569166635,NA,NA,100,NA,NA
