,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Australia,Austria,Belgium,Canada,China,Czech Rep.,Denmark,Finland,France,Germany,India,Ireland,Italy,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,South Africa,Spain,Sweden,Switzerland,UK,US
12/31/1979,29220,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.351518,NA,NA,NA,NA,NA,50.105951,NA,NA,NA,NA,NA,NA,NA,NA,86.682779,39.66499
1/1/1980,29221,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.361724,NA,NA,NA,NA,NA,50.116388,NA,NA,NA,NA,NA,NA,NA,NA,86.716992,39.67499
1/2/1980,29222,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.525984,NA,NA,NA,NA,NA,50.386287,NA,NA,NA,NA,NA,NA,NA,NA,86.87403,39.44716
1/3/1980,29223,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.49273,NA,NA,NA,NA,NA,50.442141,NA,NA,NA,NA,NA,NA,NA,NA,86.90024,39.4563
1/4/1980,29224,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.512266,NA,NA,NA,NA,NA,50.449254,NA,NA,NA,NA,NA,NA,NA,NA,87.047819,39.40359
1/7/1980,29227,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.616276,NA,NA,NA,NA,NA,50.506224,NA,NA,NA,NA,NA,NA,NA,NA,87.982741,39.46767
1/8/1980,29228,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.46318,NA,NA,NA,NA,NA,50.428072,NA,NA,NA,NA,NA,NA,NA,NA,88.283232,39.58878
1/9/1980,29229,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.481451,NA,NA,NA,NA,NA,50.357566,NA,NA,NA,NA,NA,NA,NA,NA,88.49381,39.56204
1/10/1980,29230,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.150464,NA,NA,NA,NA,NA,50.287595,NA,NA,NA,NA,NA,NA,NA,NA,88.643433,39.6515
1/11/1980,29231,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.957359,NA,NA,NA,NA,NA,50.20514,NA,NA,NA,NA,NA,NA,NA,NA,89.023875,39.5354
1/14/1980,29234,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.058123,NA,NA,NA,NA,NA,50.235692,NA,NA,NA,NA,NA,NA,NA,NA,90.269393,39.51501
1/15/1980,29235,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.771348,NA,NA,NA,NA,NA,49.919458,NA,NA,NA,NA,NA,NA,NA,NA,90.364059,39.52417
1/16/1980,29236,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.911526,NA,NA,NA,NA,NA,50.023836,NA,NA,NA,NA,NA,NA,NA,NA,87.625815,39.60091
1/17/1980,29237,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.874627,NA,NA,NA,NA,NA,49.789619,NA,NA,NA,NA,NA,NA,NA,NA,87.758183,39.59743
1/18/1980,29238,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.912827,NA,NA,NA,NA,NA,49.924371,NA,NA,NA,NA,NA,NA,NA,NA,88.443072,39.46445
1/21/1980,29241,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.724685,NA,NA,NA,NA,NA,49.756346,NA,NA,NA,NA,NA,NA,NA,NA,88.956472,39.2793
1/22/1980,29242,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.69558,NA,NA,NA,NA,NA,49.69163,NA,NA,NA,NA,NA,NA,NA,NA,88.126258,39.39406
1/23/1980,29243,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.007857,NA,NA,NA,NA,NA,49.78021,NA,NA,NA,NA,NA,NA,NA,NA,88.725007,39.46657
1/24/1980,29244,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.04347,NA,NA,NA,NA,NA,49.900932,NA,NA,NA,NA,NA,NA,NA,NA,88.169132,39.33212
1/25/1980,29245,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.679123,NA,NA,NA,NA,NA,49.681114,NA,NA,NA,NA,NA,NA,NA,NA,87.324049,39.22871
1/28/1980,29248,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.563887,NA,NA,NA,NA,NA,49.691715,NA,NA,NA,NA,NA,NA,NA,NA,86.866457,39.1703
1/29/1980,29249,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.753937,NA,NA,NA,NA,NA,49.702409,NA,NA,NA,NA,NA,NA,NA,NA,87.335595,39.04852
1/30/1980,29250,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.721809,NA,NA,NA,NA,NA,49.689501,NA,NA,NA,NA,NA,NA,NA,NA,87.68004,39.04501
1/31/1980,29251,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.484233,NA,NA,NA,NA,NA,49.291099,NA,NA,NA,NA,NA,NA,NA,NA,87.417381,39.07953
2/1/1980,29252,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.527699,NA,NA,NA,NA,NA,49.404374,NA,NA,NA,NA,NA,NA,NA,NA,87.207778,38.85382
2/4/1980,29255,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.62833,NA,NA,NA,NA,NA,49.408537,NA,NA,NA,NA,NA,NA,NA,NA,87.147505,38.7384
2/5/1980,29256,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.621575,NA,NA,NA,NA,NA,49.44951,NA,NA,NA,NA,NA,NA,NA,NA,87.050836,38.01292
