Country,Year,LHS_div_b,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Bond_Liq,Dev_PC1
Australia,1986,NA,0.86,NA,1.20774,6.81,NA,0,0,1.39,40.3347020223,65.4481073011,1162,33.0814689743,18.994977031,35.25,31.39,81.17,0,-1.40009000443867
Australia,1987,84.5835559356,1.41,NA,0.0861263,6.66,NA,0,0,1.36,42.8009853766,81.5051358359,1427,32.5670457921,37.2517770518,33.63,27.79,77.58,0,-1.66030487740997
Australia,1988,90.692130486,1.31,NA,-0.246703,7.57,NA,0,0,1.19,46.7186368608,58.290169664,1393,32.6044154123,29.7609542418,34.83,27.88,79.66,0,-1.27104934733451
Australia,1989,91.906647547,1.18,NA,-0.0558675,9.22,NA,0,0,1.03,59.2415530544,46.793661263,1258,32.1054517616,31.0280359848,35.96,24.8,78.59,0,-1.40120477545221
Australia,1990,100,0.79,23.06,-0.2267458,8.1,0.049343084935042,0,0,0.95,60.5565137461,34.6586326137,1089,32.2151332599,37.2314252607,37.46,21.33,76.25,0,-1.13366238892293
Australia,1991,100,0.61,18.37,0.1842355,5.69,NA,0,0,1.41,60.0984009879,44.4147646037,968,32.2450197861,31.5359964536,39.09,24.11,75.42,0,-1.15309646549452
Australia,1992,84.8725449511,0.4,15.45,0.7072105,3.52,NA,1,0,0.93,61.8283000156,41.4971749477,1038,33.0967324521,31.1167697102,38.93,25.77,78.66,0,-1.06226517379272
Australia,1993,97.666045265,0.31,12.69,0.7764879,3.02,0.251846904392612,0,0,0.76,63.2317296078,65.4547245229,1070,35.428021297,32.6318331694,36.3,25.71,80.58,0,-0.936870919693205
Australia,1994,98.5280701566,0.5,13.93,0.4535778,4.2,0.44703068563943,0,0,0.73,66.6842696004,67.7146533989,1144,36.4305130455,45.5021787613,35.34,27.75,81.34,0,-0.866147504333573
Australia,1995,100,0.55,12.39,0.3257557,5.84,0.777442482500118,0,0,0.62,69.7309969566,66.5645564535,1129,37.685578958,40.0448653247,34.87,30.08,82.49,0,-0.810874918890657
Australia,1996,100,0.51,16.44,0.8705939,5.3,1.32595247753488,0,0,0.66,71.4118527449,77.7656110748,1135,38.1723495935,46.39184545,35.47,28.83,84.58,0,-0.606917241669693
Australia,1997,96.883801211,0.68,22.36,0.6336278,5.46,2.04243902865752,0,0,0.67,75.2402010602,67.8208987316,1159,37.9046238107,50.7874361441,36.46,35.2,88.24,0,-1.00444607195417
