Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Life_Exp,Internet_Usage,Equity_Liq,Dev_PC1
Argentina,1986,NA,0.86,NA,0.44,6.81,0,0,0,1.39,16.9072294949,1.4341172682,216,14.4860327921,15.0364880919,14.21,11.12,56.16,70.79907317,NA,NA,NA
Argentina,1987,NA,1.41,NA,0.06,6.66,0,0,0,1.36,21.2973148811,1.276373515,205,15.448969883,10.1528068654,15.47,15.96,57.68,70.9677561,NA,NA,NA
Argentina,1988,NA,1.31,NA,0.06,7.57,0,0,0,1.19,20.3358354793,2.0225056433,193,15.7434586087,167.3913043478,19.79,14.16,56.75,71.14590244,NA,NA,NA
Argentina,1989,NA,1.18,NA,-0.3,9.22,0,0,0,1.03,39.7174950191,4.172755007,183,19.6377977019,12.3854315529,18.38,14.72,58.67,71.33753659,NA,NA,NA
Argentina,1990,99.8901120005,0.79,23.06,-0.59,8.1,0.0495818521,0,0,0.95,15.6016948142,2.5576508076,178,14.9908589999,22.1494758388,25.88,15.84,61.5,71.54365854,0,0.5153256705,NA
Argentina,1991,99.1209635169,0.61,18.37,-0.25,5.69,0.3316229736,0,0,1.41,12.5872034907,9.8248479578,169,13.7530541589,24.4032361036,26.37,19.21,66,71.76329268,NA,0.1979565773,NA
Argentina,1992,96.3425793274,0.4,15.45,0.01,3.52,0.2779049818,1,0,0.93,15.4453354474,8.1398717418,170,14.7309805864,84.5112253062,30,25.33,68.67,71.98895122,0.002992874,0.1157760814,NA
Argentina,1993,99.3653355426,0.31,12.69,-0.12,3.02,0.2533874585,0,0,0.76,18.2846049267,18.6090186925,165,16.2231515323,112.9592096844,25.47,26.37,71.66,72.21565854,0.029527065,0.1581828134,NA
Argentina,1994,81.4632860594,0.5,13.93,-0.06,4.2,0.4496351664,0,0,0.73,20.2805779988,14.3206960845,156,18.1342254506,306.0389723114,29.38,30.55,76.42,72.44139024,0.043705951,0.1807692308,NA
Argentina,1995,63.7094775022,0.55,12.39,-0.01,5.84,0.782955693,0,0,0.62,19.9606075609,14.6430739628,149,19.7715009878,84.437290287,28.21,28.17,75.25,72.66512195,0.086277081,0.2082417582,NA
Argentina,1996,76.9054708076,0.51,16.44,0.45,5.3,1.331586128,0,0,0.66,20.1870018253,16.4219698897,147,21.5063581723,70.0421884282,30.38,29.54,76.42,72.88734146,0.141954704,0.258057676,NA
Argentina,1997,88.9814661108,0.68,22.36,0.2,5.46,2.0361346016,0,0,0.67,21.9334587634,20.2322107226,136,23.3361446976,64.481767236,33.26,34.01,74.42,73.10804878,0.280339882,0.2417442073,NA
