Year,Country,Div,TED,VIX,SENT,FEDFUNDS,GLOBAL SUPPLY CHAIN,INTERNET,GDP PER CAPITA,1992 - ERM,2009-10 - EUROZONE
1986,Div_world_mean,80.87730831,0.86,NA,0.44,6.81,35.67,0,5411.270272,0,0
1987,Div_world_mean,59.3209325,1.41,NA,0.06,6.66,36.14,0,5508.598184,0,0
1988,Div_world_mean,73.39732886,1.31,NA,0.06,7.57,37.06,0,5667.18882,0,0
1989,Div_world_mean,66.88942259,1.18,NA,-0.3,9.22,38.31,0,5782.291552,0,0
1990,Div_world_mean,71.69823446,0.79,23.06,-0.59,8.1,38.71,0.049581852,5853.991405,0,0
1991,Div_world_mean,62.89508723,0.61,18.37,-0.25,5.69,38.46,0.331622974,5839.985559,0,0
1992,Div_world_mean,75.89044394,0.4,15.45,0.01,3.52,39.68,0.277904982,5861.151442,1,0
1993,Div_world_mean,81.09583049,0.31,12.69,-0.12,3.02,38.61,0.253387458,5866.55448,0,0
1994,Div_world_mean,78.37674465,0.5,13.93,-0.06,4.2,40.4,0.449635166,5959.448826,0,0
1995,Div_world_mean,76.95647015,0.55,12.39,-0.01,5.84,42.76,0.782955693,6049.133469,0,0
1996,Div_world_mean,83.60149449,0.51,16.44,0.45,5.3,43.04,1.331586128,6159.460678,0,0
1997,Div_world_mean,73.80757956,0.68,22.36,0.2,5.46,44.8,2.036134602,6297.332539,0,0
1998,Div_world_mean,71.70910797,0.79,25.6,-0.04,5.35,45.13,3.120735155,6369.292571,0,0
1999,Div_world_mean,81.18674073,0.77,24.37,0.38,4.97,45.56,4.595001294,6494.784759,0,0
2000,Div_world_mean,76.50770726,0.71,23.32,1.79,6.24,49.81,6.690907334,6682.763442,0,0
2001,Div_world_mean,73.31208731,0.38,25.75,0.85,3.89,48.6,8.010814002,6717.797727,0,0
2002,Div_world_mean,75.02741189,0.19,27.29,-0.58,1.67,47.95,10.45894342,6771.221639,0,0
2003,Div_world_mean,77.61008405,0.21,21.98,-0.56,1.13,48.61,12.13996835,6871.235949,0,0
2004,Div_world_mean,69.19562829,0.25,15.48,0.02,1.35,51.59,14.03273183,7067.254282,0,0
2005,Div_world_mean,74.14542502,0.41,12.81,-0.02,3.21,53.71,15.62915896,7230.56293,0,0
2006,Div_world_mean,66.70543653,0.47,12.81,0.11,4.96,56.35,17.41146247,7433.818453,0,0
2007,Div_world_mean,63.45476784,0.94,17.54,0.03,5.02,57.2,20.35812142,7633.01341,0,0
2008,Div_world_mean,53.57945841,1.55,32.69,-0.21,1.93,59.25,23.05145671,7649.622632,0,0
2009,Div_world_mean,58.32900255,0.54,31.48,-0.02,0.16,51,25.59586039,7401.237975,0,1
2010,Div_world_mean,55.43763997,0.21,22.55,-0.12,0.18,55.88,29.09413276,7611.107336,0,1
2011,Div_world_mean,55.50997501,0.28,24.2,NA,0.1,59.5,31.74885013,7734.902124,0,0
2012,Div_world_mean,61.58233383,0.34,17.8,NA,0.14,59.74,35.28269858,7818.166301,0,0
2013,Div_world_mean,70.69073611,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Div_world_mean,74.86118356,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Div_world_mean,67.92323208,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Div_world_mean,61.06333912,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Div_world_mean,75.12404175,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Div_world_mean,68.43437435,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,Argentina,NA,0.86,NA,0.44,6.81,35.67,0,5411.270272,0,0
1987,Argentina,NA,1.41,NA,0.06,6.66,36.14,0,5508.598184,0,0
1988,Argentina,NA,1.31,NA,0.06,7.57,37.06,0,5667.18882,0,0
1989,Argentina,NA,1.18,NA,-0.3,9.22,38.31,0,5782.291552,0,0
