Year,Country,Div,TED,VIX,SENT,FEDFUNDS,GLOBAL SUPPLY CHAIN,INTERNET,GDP PER CAPITA,1992 - ERM,2009-10 - EUROZONE
1986,Div_world_mean,81.30795952820506,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Div_world_mean,57.60827323111514,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Div_world_mean,72.42480715161118,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Div_world_mean,67.16204724813002,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Div_world_mean,72.63736408595867,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Div_world_mean,65.48359379573004,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Div_world_mean,77.41858876905644,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Div_world_mean,82.27426624080172,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Div_world_mean,79.47859464768787,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Div_world_mean,79.1597539293334,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Div_world_mean,83.81351521691236,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
1997,Div_world_mean,72.69984757881231,0.68,22.36,0.2,5.46,44.8,2.03613460163745,6297.33253861861,0,0
1998,Div_world_mean,68.8875025673696,0.79,25.6,-0.04,5.35,45.13,3.12073515478569,6369.29257105243,0,0
1999,Div_world_mean,79.28077426872375,0.77,24.37,0.38,4.97,45.56,4.59500129441564,6494.78475878248,0,0
2000,Div_world_mean,75.67117805362997,0.71,23.32,1.79,6.24,49.81,6.69090733369566,6682.76344153284,0,0
2001,Div_world_mean,74.36637195508287,0.38,25.75,0.85,3.89,48.6,8.0108140021014,6717.79772703242,0,0
2002,Div_world_mean,74.86414779952753,0.19,27.29,-0.58,1.67,47.95,10.4589434184407,6771.22163904373,0,0
2003,Div_world_mean,78.32990480657351,0.21,21.98,-0.56,1.13,48.61,12.1399683529482,6871.23594904106,0,0
2004,Div_world_mean,70.14975278386365,0.25,15.48,0.02,1.35,51.59,14.0327318252414,7067.2542820758,0,0
2005,Div_world_mean,75.02517449560037,0.41,12.81,-0.02,3.21,53.71,15.6291589559443,7230.56293045898,0,0
2006,Div_world_mean,66.91140233136574,0.47,12.81,0.11,4.96,56.35,17.411462466032,7433.81845310028,0,0
2007,Div_world_mean,62.323460648385016,0.94,17.54,0.03,5.02,57.2,20.3581214237469,7633.01341022813,0,0
2008,Div_world_mean,52.575633945944674,1.55,32.69,-0.21,1.93,59.25,23.0514567079442,7649.62263215115,0,0
2009,Div_world_mean,57.895265314888654,0.54,31.48,-0.02,0.16,51,25.5958603885016,7401.23797505688,0,1
2010,Div_world_mean,55.19441091080515,0.21,22.55,-0.12,0.18,55.88,29.0941327557255,7611.10733571686,0,1
2011,Div_world_mean,54.66171622826462,0.28,24.2,NA,0.1,59.5,31.7488501299365,7734.90212445132,0,0
2012,Div_world_mean,60.131551026586905,0.34,17.8,NA,0.14,59.74,35.2826985798825,7818.16630093263,0,0
1986,Argentina,NA,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Argentina,NA,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Argentina,NA,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Argentina,NA,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Argentina,99.2576940008469,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Argentina,98.9255631349455,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Argentina,93.51661389174637,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Argentina,96.22282659930352,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Argentina,77.6624255530426,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Argentina,56.9700332286041,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Argentina,71.3042409188283,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
