Country,Year,Government Stability,Socioeconomic Conditions,Investment Profile,Internal Conflict,External Conflict,Corruption,Military in Politics,Religious Tensions,Law and Order,Ethnic Tensions,Democratic Accountability,Bureaucracy Quality         
Albania,1984,4.83,7,5,10,7,4,5,6,4.67,2,4,1
Albania,1985,6.67,7,5.17,10,7,4,5,6,4,2,4,1
Albania,1986,7,7,6,10,7.58,4,5,6,4,2,4,1
Albania,1987,7,7,6,10,7.33,4,5,6,4,2.25,4,1
Albania,1988,7,7,6,10,7.5,4,5,6,4,3,4,1
Albania,1989,7,7,6,10,8,4,5,6,4,3,4,1
Albania,1990,5.17,6.5,6,10,9.5,4,4.67,6,4,3.17,4,1
Albania,1991,3.42,4.17,4.33,8.25,11.17,4,3.75,6,2.83,4,3.17,1
Albania,1992,4.17,2,2,8.75,10.33,3.25,4,6,2.08,4.58,3,1
Albania,1993,5.75,3.75,2.83,9.92,8,4,4,6,3.33,5,3,1
Albania,1994,6.25,5.33,4.5,11.92,8,4,4,6,4.67,5.83,3,1
Albania,1995,5.58,6,5,12,9.92,3.83,4,6,4.67,5,3,1
Albania,1996,8.33,5.67,6.58,11.33,10,2.75,4,6,4,5.58,3.08,1
Albania,1997,8.08,3.17,6,8,10.33,2.25,4,6,2.83,6,4.08,1
Albania,1998,9.75,2,5.33,8.08,6.25,3,3.17,6,3,6,5,1
Albania,1999,9.42,2,4.42,9,6.75,2.33,2.67,5.42,2.42,5.42,5,1
Albania,2000,9.33,2,6,8.58,9.92,2,3.58,5,2,5,5,1
Albania,2001,9.46,3,7.13,8.33,9.33,2,4,5,2,5,4.54,1
Albania,2002,9,3.63,7.54,8.92,10,2,4.04,5,2,5,3.96,1.5
Albania,2003,9.17,4,8,11,11,2,4.88,5,2,5,4,2
Albania,2004,7.38,4,8,10.08,11,2,5,5,2,4.63,4,2
Albania,2005,7.42,4.88,8,10,11,1.83,5,5,2.21,4.5,4.33,2
Albania,2006,8.5,5.5,8,10.04,11,1,5,5,2.5,4.5,5,2
Albania,2007,7.96,5.5,8.17,10.5,11,1,5,5,2.5,4.5,4.54,2
Albania,2008,7.75,5.5,8.5,10.5,11,1.5,5,5,2.5,4.5,4.83,2
Albania,2009,7.96,5.42,8.5,10.38,10.92,1.5,5,5,2.5,4.5,5,2
Albania,2010,7.29,5,8.5,10,10.5,1.92,5,5,2.5,4.5,5,2
Albania,2011,5.71,5,8.5,9.5,10.5,2,5,5,2.5,4.5,5,2
Albania,2012,5.71,5,7.92,9.5,10.5,2,5,5,2.5,4.5,5,2
Albania,2013,7.17,5,7,9.75,10.75,2,5,5,2.5,4.5,5,2
Algeria,1984,7.42,7.33,7.42,9.42,8,3,2.42,5,2,3.92,2,1
Algeria,1985,8.67,7.75,8.75,9,9,4,2,5,2,3,2,1
Algeria,1986,9,7.17,7.83,9,9,4,2,5,2,3,2,1
Algeria,1987,8.83,6.5,6.33,9.17,9.33,4,2,5,2.08,3.5,2,1
Algeria,1988,8.75,6,6.75,9.83,10,4,3,4.75,2.75,4,2.08,2.08
Algeria,1989,7.75,3.92,5,9,10,4,3,4,2,4,3.5,3
Algeria,1990,8,5.42,3.67,9.08,10,3.92,3,3.58,2.17,4,4.58,3
Algeria,1991,7.08,6.25,4.58,8.17,10,4,1.83,2,1.42,3.25,5,2.25
Algeria,1992,4.5,4.75,5.67,5.33,12,3.5,1,2,1.42,3,2.08,1
Algeria,1993,4.25,5.92,5.33,5.25,12,3,1,2.5,2,3.33,2.92,1
Algeria,1994,5.75,6,5,4.58,12,3,0.08,2.67,3,4,3,1
Algeria,1995,6.33,5.17,5.42,3.67,10.17,3,0,0.08,3,4,3,1
Algeria,1996,8.67,5.58,6.67,3.25,10,3,0,0,3,4,4,1
Algeria,1997,10.5,4,7.25,2.58,9.92,2.5,0,0,3,4,2.5,1.42
Algeria,1998,10.5,4,6,2,9,2,0,0,2.08,3.17,2,2
Algeria,1999,10,3.08,6,3.58,9,2,0,0,2,2,1.75,2
Algeria,2000,9.83,3,6.92,4.92,9,2,0,0,2,2,2.58,2
Algeria,2001,8.17,3.67,7.96,4.83,10.08,1.96,0,0,2,2.13,2.33,2
Algeria,2002,8.58,4,8.46,4.88,11,1.5,0,0,2,2,2,2
Algeria,2003,8.08,4,8,4.5,11,1.5,0,0,2,2,2,2
Algeria,2004,8.75,4.67,8.08,7.29,11,1.5,1.29,0.83,2.42,2,3.88,2
Algeria,2005,9.79,5.42,9.17,8.46,10.5,1.5,3,2.46,3,3.42,4.5,2
Algeria,2006,9.58,5.75,9.08,8.88,10,1.5,3,2.5,3,3.5,4.5,2
Algeria,2007,9.42,6,8.5,8.46,10.04,1.5,3,2.5,3,3.5,4.5,2
Algeria,2008,9,5.5,8.29,8.5,10.5,1.5,3,2.5,3,3.5,4.42,2
Algeria,2009,9.75,5,8,8.38,10.42,1.5,3,2.5,3,3.5,3.63,2
Algeria,2010,9.83,5,7.75,8.46,10.5,1.92,3,2.5,3,3.5,3.5,2
Algeria,2011,6.67,5,7.5,7.67,10.46,2,3,2.5,3,3.5,3.5,2
Algeria,2012,5.88,5,7.5,7.63,10.13,2,3,2.5,3,3.5,3.5,2
Algeria,2013,6,5,8.33,7.5,9.58,2,3,2.5,3,3.5,3.5,2
Angola,1984,5.33,7,6,2.67,5.67,3,3,5,2,2,2,2
